Tested_IDs,Every_ISSN
39535,39535
62006,62006
156191,100870
189448,156191
194131,189448
220418,220418
242594,239283
242594,242160
274380,242519
293970,242527
907324,242594
990086,242667
990086,274380
991333,293970
1033786,442380
1200976,652830
1389130,686611
1435124,907324
1576895,987913
1576895,990086
1639374,991333
1639374,1001965
1655515,1033786
1655515,1200976
1675265,1389130
1678329,1425471
1678329,1435124
1722190,1462679
1764268,1576895
1764268,1616846
1930826,1639269
2042061,1639374
2196492,1655515
2196492,1675265
2640473,1678329
2666669,1708643
2683962,1722190
2763869,1764268
2763869,1930826
2763877,2042061
3064573,2100614
3064573,2196492
3400352,2640473
3400352,2666669
3609081,2683962
3734447,2684012
5071925,2763869
5390184,2763877
7193661,2763915
7193661,3064573
7307187,3186954
7317131,3400352
7378831,3609081
7408188,3734447
7419058,5071925
7485786,5390184
7485786,7193661
8725632,7307187
8944393,7309295
8989621,7317131
9437444,7378831
9610006,7380569
9670769,7408188
9725423,7419058
9725423,7485786
9740643,7954778
9740643,8341516
9752404,8725632
9764658,8944393
10222588,8963568
10401628,8989621
10401628,9299971
10477047,9437444
10553096,9565698
10572317,9579656
10580530,9582029
10586768,9593845
10810730,9610006
10810730,9670769
10829873,9725423
10870415,9740643
10921206,9752404
10949054,9764658
10959297,10162364
10959297,10222588
10987371,10401628
11321873,10417915
11353716,10477047
12385018,10572317
13023217,10580530
13346938,10586768
13602357,10588167
13614533,10619321
13614533,10691316
13658816,10810730
13658816,10829873
13658824,10870415
13681613,10875301
13862316,10921206
13864564,10949054
13864564,10959297
13866710,11321873
13881957,11353716
13890166,13023217
13946234,13346938
14112272,13602357
14112272,13614533
14139936,13658816
14321343,13658824
14344653,13681613
14344653,13862316
14355205,13862316
14479516,13864564
14479516,13866710
14479567,13881957
14617412,13890166
14643693,13946234
14664437,14112272
14664437,14139936
14678047,14321300
14684527,14321343
14684527,14325012
14684535,14344653
14711834,14355205
14711834,14479516
14711842,14479567
14711842,14617412
14716941,14643693
14769344,14649055
14777282,14664437
14778238,14678047
14778238,14684527
14778246,14684535
15148327,14711834
15148327,14711842
15214672,14715449
15214672,14716941
15220222,14717727
15228886,14769344
15229041,14777282
15229041,14778238
15252531,14778246
15265536,15148327
15307131,15214672
15307131,15220222
15312542,15228886
15312542,15228959
15323269,15229041
15332918,15229114
15337979,15265536
15337979,15287033
15365050,15307131
15365050,15312542
15367967,15323269
15367967,15332748
15367975,15332756
15409597,15332918
15411095,15337979
15420353,15365050
15424065,15367967
15455815,15367975
15479684,15403572
15499596,15404749
15528286,15409597
15528286,15411095
15579654,15411109
15589439,15411540
15590682,15420353
15590682,15420361
15624730,15424065
15737659,15444546
15741796,15452522
15741796,15452530
15752437,15452549
15752437,15455815
15755886,15470644
15882861,15479684
16067509,15499596
16067509,15528286
16194292,15579654
16838947,15589439
16962508,15590682
16977904,15624730
16992407,15699994
16992407,15737659
17086892,15741796
17366852,15755886
17407834,15882861
17410398,16067509
17416469,16194292
17416477,16801865
17416485,16838947
17452651,16962508
17485673,16992407
17485681,17086892
17505968,17366852
17511577,17407834
17560632,17410398
17560632,17416469
17582946,17416477
17936926,17416485
18025943,17442621
18025951,17448581
18025951,17452651
18054951,17485673
18349013,17485681
18463312,17505968
18463312,17511577
18469418,17582946
18511740,17936926
