Every_ISSN,-,,Title,Type,Issn,Column1
100870,-,,Information Systems Research,journal,"15265536, 10477047",1990-2020
239283,-,,Information and Organization,journal,14717727,"1996-1997, 2001-2020"
242160,-,,Information Communication and Society,journal,1369118X,"2001, 2005-2020"
242519,-,,International Journal of Information Management,journal,2684012,"1970, 1986-2021"
242527,-,,Scientific data,journal,20524463,2014-2020
242667,-,,Big Data and Society,journal,20539517,2014-2020
442380,-,,Government Information Quarterly,journal,0740624X,1984-2020
652830,-,,Journal of Information Technology,journal,"14664437, 02683962",1987-2020
686611,-,,College and Research Libraries,journal,"00100870, 21506701","1946-1947, 1987-2020"
987913,-,,Journal of Informetrics,journal,17511577,2007-2020
1001965,-,,European Journal of Information Systems,journal,"0960085X, 14769344",1995-2020
1425471,-,,Journal of Cheminformatics,journal,17582946,2009-2020
1462679,,,Social Science Computer Review,journal,"15528286, 08944393",1983-2020
1616846,,,International Journal of Geographical Information Science,journal,"13658816, 13658824",1997-2020
1639269,,,Journal of Chemical Information and Modeling,journal,"1549960X, 15499596",2005-2020
1708643,,,Library and Information Science Research,journal,7408188,1987-2020
2100614,,,IEEE Transactions on Information Theory,journal,"00189448, 15579654",1963-2020
2684012,,,Journal of the Medical Library Association : JMLA,journal,"15365050, 15589439",1999-2020
2763915,,,Information Processing and Management,journal,"18735371, 03064573",1975-2020
3186954,,,Portal,journal,"15307131, 15312542",2001-2020
7309295,,,Scientometrics,journal,"15882861, 01389130",1978-2020
7380569,,,Library Quarterly,journal,"00242519, 1549652X","1946-1947, 1951, 1958, 1979, 1981, 1988-2020"
7954778,,,Education and Information Technologies,journal,13602357,"1996-2002, 2005-2020"
8341516,,,Journal of Health Communication,journal,"10810730, 10870415",1996-2020
8963568,,,Journal of the Association for Information Science and Technology,journal,"23301643, 23301635",2014-2020
9299971,,,Ethics and Information Technology,journal,13881957,1999-2020
9565698,,,Journal of Academic Librarianship,journal,991333,1988-2020
9579656,,,Research Evaluation,journal,"09582029, 14715449","1991-1996, 1998-2020"
9582029,,,Communications in Information Literacy,journal,19335954,2009-2020
9593845,,,International Journal of Law and Information Technology,journal,"09670769, 14643693",1993-2020
10162364,,,Collection Management,journal,"01462679, 15452549","1976, 1978-1979, 1981-1999, 2001-2020"
10417915,,,Health Information and Libraries Journal,journal,"14711842, 14711834",2001-2020
10588167,,,Journal of Enterprise Information Management,journal,17410398,2004-2020
10619321,,,Information Technology and People,journal,9593845,"1990, 1992, 1994-2020"
10691316,,,Journal of Librarianship and Information Science,journal,"09610006, 17416477",1969-2020
10875301,,,Journal of Education for Library and Information Science,journal,"07485786, 23282967",2017-2020
14321300,,,Reference Services Review,journal,907324,1973-2020
14325012,,,Profesional de la Informacion,journal,"16992407, 13866710",2006-2020
14649055,,,"Library Collections, Acquisition and Technical Services",journal,"14649055, 18731821","1980-1997, 1999-2015, 2017"
14715449,,,Journal of Documentation,journal,220418,1945-2020
14717727,,,Journal of Classification,journal,"01764268, 14321343",1984-2020
15228959,,,Online Information Review,journal,"14684527, 14684535",1980-2020
15229114,,,Information Systems Management,journal,10580530,1992-2020
