Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Ellenwood D.,,‘Information has value’: the political economy of information capitalism,2020,In the Library with the Lead Pipe,,,,,,,1,,,,"Ellenwood, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85121353572
Henninger Ean,,"Multilingualism, neoliberalism, and language ideologies in libraries",2020,In the library with the lead pipe,,,,,,,1,,,,"Henninger, Ean",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85088960748
"Magnus E., Belanger J., Faber M.",,Towards a Critical Assessment Practice,2020,In the Library with the Lead Pipe,,,,,,,5,,,,"Magnus, E.; Belanger, J.; Faber, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85068728999
"Dymarz A., Harrington M.",,Consultants in Canadian academic libraries: adding new voices to the story,2019,In the Library with the Lead Pipe,,,,,,,1,,,,"Dymarz, A.; Harrington, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85121356378
[No author name available],[No author id available],Dismantling deficit thinking: A strengths-based inquiry into the experiences of transfer students in and out of academic libraries,2019,In the Library with the Lead Pipe.,,,,,,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85118282340
Dohe K.,,"Care, code, and digital libraries: Embracing critical practice in digital library communities",2019,In The Library With The Lead Pipe,,,,,,,1,,,,"Dohe, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85091390820
Thorpe K.,,Transformative praxis - building spaces for indigenous self-determination in libraries and archives,2019,In The Library With The Lead Pipe,,,,,,,14,,,,"Thorpe, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85068649780
"Rosener A., Frigo E., Ponischil S., Bélanger A., Rander J., Salazar E.",,Leading from the center: Reimagining feedback conversations at an academic library,2019,In the Library with the Lead Pipe,,,,,,,2,,,,"Rosener, A.; Frigo, E.; Ponischil, S.; Bélanger, A.; Rander, J.; Salazar, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85087573044
"Arellano Douglas V., Gadsby J.",,"All carrots, no sticks: Relational practice and library instruction coordination",2019,In the Library with the Lead Pipe,,,,,,,1,,,,"Arellano Douglas, V.; Gadsby, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85086655833
"Heinbach C., Fiedler B.P., Mitola R., Pattni E.",,Dismantling deficit thinking: A strengths-based inquiry into the experiences of transfer students in and out of academic libraries,2019,In the Library with the Lead Pipe,,,,,,,12,,,,"Heinbach, C.; Fiedler, B.P.; Mitola, R.; Pattni, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85073691988
