Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
"Murillo M.A., Liboon C.A., Quartz K.H.",,Immigrant family legal clinic: A case of integrated student supports in a community school context,2021,InterActions: UCLA Journal of Education and Information Studies,,,,,,,1,,,,"Murillo, M.A.; Liboon, C.A.; Quartz, K.H.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85118547468
Valdes M.C.,,A review of daily conversations and practices at home: Exploring practices that promote early literacy in Spanish-speaking homes and home-school interactions,2020,Interactions: UCLA Journal of Education and Information Studies,16,1,,,,,1,,,,"Valdes, M.C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85108104741
Helkenberg Davin L.,,Paul Kwiatkowski’s and Every Day Was Overcast and Redefining Young Adult Literature,2018,InterActions: UCLA Journal of Education and Information Studies,15,1,,,,,1,,,,"Helkenberg, Davin L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85096653504
Tsang T.,,The role of faculty and peer interactions in supporting humanities students’ persistence and post-graduation aspirations: A case study,2018,Interactions: UCLA Journal of Education and Information Studies,14,2,,,,,1,,,,"Tsang, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85096012385
"Coronado H.M., Paredes A.D.",,From invisible to visible: Documenting the voices and resilience of Central American students in U.S. schools,2018,Interactions: UCLA Journal of Education and Information Studies,15,1,,,,,3,,,,"Coronado, H.M.; Paredes, A.D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85086280081
Carranza J.L.,,Discovering pride and enthusiasm at a dual immersion school,2018,InterActions: UCLA Journal of Education and Information Studies,14,1,,1,17,,1,,,,"Carranza, J.L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85125571371
Barillas-Chón D.,,Ref/lecciones: Lessons for my hijo and other children and indigenous immigrants,2018,Interactions: UCLA Journal of Education and Information Studies,15,1,,1,19,,2,,,,"Barillas-Chón, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85098478531
"Alcalá Janet Ceja, Colón-Aguirre Mónica, Cooke Nicole, Stewart Brenton",,A Critical Dialogue: Faculty of Color in Library and Information Science,2017,InterActions: UCLA Journal of Education and Information Studies,13,2,,1,14,,1,,,,"Alcalá, Janet Ceja; Colón-Aguirre, Mónica; Cooke, Nicole; Stewart, Brenton",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85095695316
Maldonado K.,,Review of Catching a Case: Inequality and Fear in New York City's Child Welfare System by Tina Lee,2017,InterActions: UCLA Journal of Education and Information Studies,13,1,,,,,1,,,,"Maldonado, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85115954451
"Ceja Alcalá J., Colón-Aguirre M., Cooke N.A., Stewart B.",,A critical dialogue: Faculty of color in library and information science,2017,InterActions: UCLA Journal of Education and Information Studies,13,2,,,,,5,,,,"Ceja Alcalá, J.; Colón-Aguirre, M.; Cooke, N.A.; Stewart, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85071626509
Harris V.,,"Nelson Mandela, Memory, and the Work of Justice",2017,InterActions: UCLA Journal of Education and Information Studies,,,,,,,1,,,,"Harris, V.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85064178467
"Paris B.S., Pierre J.",,Naming experience: Registering resistance and mobilizing change with qualitative tools,2017,InterActions: UCLA Journal of Education and Information Studies,13,1,,,,,3,,,,"Paris, B.S.; Pierre, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85106678688
Campos M.,,Mentoring away the glass ceiling in academia: a cultured critique,2016,InterActions: UCLA Journal of Education and Information Studies,12,,,53,2294,,1,,,,"Campos, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85097458758
"Liou D.D., Tyson E.J M., Antrop-Gonzalez R.",,The Spatiality of Schooling: A quest for equitable classrooms and high expectations for low-income students of color,2016,InterActions: UCLA Journal of Education and Information Studies,12,2,,1,,,3,,,,"Liou, D.D.; Tyson E.J, M.; Antrop-Gonzalez, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85001964775
Pierre J.,,‘The Myth of Oneness’: Erasure of Indigenous and Ethnic Identities in Digital Feminist Discourse,2016,InterActions: UCLA Journal of Education and Information Studies,12,1,,1,19,,1,,,,"Pierre, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85027015441
"Garcia P., Scott K.",,Traversing a political pipeline: An intersectional and social constructionist approach toward technology education for girls of color,2016,InterActions: UCLA Journal of Education and Information Studies,12,2,,1,25,,10,,,,"Garcia, P.; Scott, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85045189919
Montoya R.,,"Review: Boundary objects and beyond: Working with Leigh Star, edited by Geoffrey C. Bowker, Stefan Timmermans, Adele E. Clarke, and Ellen Balka",2016,Interactions: UCLA Journal of Education and Information Studies,12,2,,,,,2,,,,"Montoya, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85066072951
Stein S.,,Rethinking the ethics of internationalization: Five challenges for higher education,2016,Interactions: UCLA Journal of Education and Information Studies,12,2,,1,23,,13,,,,"Stein, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85011334473
Doolan E.,,Textiles of Change: How Arpilleras Can Expand Traditional Definitions of Records,2016,InterActions: UCLA Journal of Education and Information Studies,12,1,,1,14,,3,,,,"Doolan, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85052021935
Letizia A.,,Revitalizing higher education and the commitment to the public good: A literature review,2015,InterActions: UCLA Journal of Education and Information Studies,11,2,,1,20,,3,,,,"Letizia, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85021099064
Rodriguez Vega S.,,From barbies to boycotts: How immigration raids in Arizona created a ten-year-old activist,2015,InterActions: UCLA Journal of Education and Information Studies,11,2,,,,,2,,,,"Rodriguez Vega, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85090262372
