Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Nicholson Karen P.,,"On the Space/Time of Information Literacy, Higher Education, and the Global Knowledge Economy",2022,Journal of Critical Library and Information Studies,2,1,,1,31,,6,,,,"Nicholson, Karen P.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85074363961
"Floegel D., Costello K.",,Expanding the almost: Queer World Building and institutional information worlds,2021,Journal of Critical Library and Information Studies,3,,,1,30,,1,,,,"Floegel, D.; Costello, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85117693840
"Cooke N.A., Warren K.E., Brown M., Jackson A.",,It Starts at Home: Infusing Radical Empathy Into Graduate Education,2021,Journal of Critical Library and Information Studies,3,,,,,,2,,,,"Cooke, N.A.; Warren, K.E.; Brown, M.; Jackson, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85110424058
Mehra B.,,Elfreda Annmary Chatman in the 21 st century: At the intersection of critical theory and social justice imperatives,2021,Journal of Critical Library and Information Studies,3,,,,,,1,,,,"Mehra, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85108190748
"Caswell M., Cifor M.",,Revisiting A Feminist Ethics of Care in Archives: An Introductory Note,2021,Journal of Critical Library and Information Studies,3,,,1,6,,1,,,,"Caswell, M.; Cifor, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85121869142
"Tansey Eira, Montoya Robert D.",,Libraries and Archives in the Anthropocene: An Introduction,2020,Journal of Critical Library and Information Studies,3,1,,1,9,,2,,,,"Tansey, Eira; Montoya, Robert D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85111460267
"Almeida N., Hoyer J.",,The Living Archive in the Anthropocene,2020,Journal of Critical Library and Information Studies,3,1,,1,38,,2,,,,"Almeida, N.; Hoyer, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85124503299
Stuchel D.,,Material provocations in the archives,2020,Journal of Critical Library and Information Studies,3,1,,,,,3,,,,"Stuchel, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85104137478
Tai J.,,Cultural Humility as a Framework for Anti-Oppressive Archival Description,2020,Journal of Critical Library and Information Studies,3,,,1,23,,4,,,,"Tai, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85097466741
"Alpert-Abrams H., Bliss D.A., Carbajal I.",,Post-Custodial Archiving for the Collective Good: Examining Neoliberalism in US-Latin American Archival Partnerships,2019,Journal of Critical Library and Information Studies,2,1,,,,,3,,,,"Alpert-Abrams, H.; Bliss, D.A.; Carbajal, I.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85112630183
Caswell M.,,Dusting for Fingerprints: Introducing Feminist Standpoint Appraisal,2019,Journal of Critical Library and Information Studies,3,1,,1,36,,10,,,,"Caswell, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85075125383
"Lee J. A., Cifor M.",,"Evidences, implications, and critical interrogations of neoliberalism in information studies: An introduction",2019,Journal of Critical Library and Information Studies,2,1,,1,10,,1,,,,"Lee, J. A.; Cifor, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85086651727
Winn S.R.,,Dying well in the Anthropocene: on the end of archivists,2019,Journal of Critical Library and Information Studies,2,3,,1,20,,5,,,,"Winn, S.R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85106274284
Crooks R.,,Accesso Libre: Equity of Access to Information through the Lens of Neoliberal Responsiblization,2019,Journal of Critical Library and Information Studies,2,,,1,,,2,,,,"Crooks, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85106332760
"Wood S. E., Lowry J., Lau A.",,Information/Control - Control in the Age of Post-Truth: An Introduction,2019,Journal of Critical Library and Information Studies,2,2,,,,,1,,,,"Wood, S. E.; Lowry, J.; Lau, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85127186224
Kosciejew M.,,The registration of religious identity: parallels between the United States' (proposed) Muslim registry and apartheid South Africa's population registration act,2019,Journal of Critical Library and Information Studies,2,2,,1,25,,2,,,,"Kosciejew, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85102178959
Gilliland A.J.,,A matter of life and death: A critical examination of the role of official records and archives in supporting the forcibly displaced,2017,Journal of Critical Library and Information Studies,1,2,,1,24,,8,,,,"Gilliland, A.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85066027631
Bowen Koford A.,,Engaging an author in a critical reading of subject headings,2017,Journal of Critical Library and Information Studies,1,1,,,,,1,,,,"Bowen Koford, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85075790492
Lee H.,,Importance of the Intersection of Library and Information Sciences with System Theory,2017,Journal of Critical Library and Information Studies,14,,,1,14,,1,,,,"Lee, H.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85056344353
Oliphant T.,,A Case for Critical Data Studies in Library and Information Studies,2017,Journal of Critical Library and Information Studies,1,1,,1,24,,1,,,,"Oliphant, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85074365606
Diab R.S.,,"Becoming-Infrastructure: Datafication, Deactivation and the Social Credit System",2017,Journal of Critical Library and Information Studies,1,1,,1,23,,5,,,,"Diab, R.S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85053179060
Dalmer N.,,Mind the gap: Towards the integration of critical gerontology in public library praxis,2017,Journal of Critical Library and Information Studies,1,1,,1,23,,5,,,,"Dalmer, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85052830914
"Caswell M., Punzalan R., Sangwand T.",,Critical archival studies: an introduction,2017,Journal of Critical Library and Information Studies,1,2,,1,8,,30,,,,"Caswell, M.; Punzalan, R.; Sangwand, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85046959632
"Evans J., McKemmish S., Rolan G.",,Critical approaches to archiving and recordkeeping in the continuum,2017,Journal of Critical Library and Information Studies,1,2,,1,38,,23,,,,"Evans, J.; McKemmish, S.; Rolan, G.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85039713643
Sutherland T.,,Archival Amnesty: In Search of Black American Transitional and Restorative Justice,2017,Journal of Critical Library and Information Studies,1,2,,,,,18,,,,"Sutherland, T.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85048336309
"Lau A.J., Sellie A., Day R.E.",,Why is the Journal of Critical Library and Information Studies needed today?,2017,Journal of Critical Library and Information Studies,1,1,,,,,1,,,,"Lau, A.J.; Sellie, A.; Day, R.E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85112079126
Adler M.,,Classification along the color line: Excavating racism in the stacks,2017,Journal of Critical Library and Information Studies,1,1,,1,32,,16,,,,"Adler, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85014945073
"Day R.E., Lau A.J., Sellie A.",,Inaugural issue,2017,Journal of Critical Library and Information Studies,1,1,,,,,1,,,,"Day, R.E.; Lau, A.J.; Sellie, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85068249012
Dalmer N. K.,,Mind the gap,2017,Journal of Critical Library and Information Studies,1,1,,11,22,,1,,,,"Dalmer, N. K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85087081485
"Cifor M., Lee J.A.",,Critical Feminism in the Archives,2017,Journal of Critical Library and Information Studies,1,1,,1,22,,34,,,,"Cifor, M.; Lee, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85028757107
"Jacobs H.L.M., Murgu C.",,Questioning the past and possible futures: Digital historiography and critical librarianship,2017,Journal of Critical Library and Information Studies,1,1,,1,22,,2,,,,"Jacobs, H.L.M.; Murgu, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85067686218
Gaston N.M.,,Contextualizing information behavior: a methodological approach,2017,Journal of Critical Library and Information Studies,1,1,,1,33,,2,,,,"Gaston, N.M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85046420331
Almeida N.,,Open education resources and rhetorical paradox in the neoliberal universcity,2017,Journal of Critical Library and Information Studies,1,1,,1,19,,6,,,,"Almeida, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85061824561
Gustafson M.,,Critical pedagogy in libraries: A unified approach,2017,Journal of Critical Library and Information Studies,1,,,1,14,,2,,,,"Gustafson, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85079653134
Lee J.A.,,A Queer/ed Archival Methodology: Archival Bodies as Nomadic Subjects,2017,Journal of Critical Library and Information Studies,1,2,,1,27,,9,,,,"Lee, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85079239896
Hudson D.J.,,On ‘Diversity’ as Anti-Racism in Library and Information Studies: A Critique,2017,Journal of Critical Library and Information Studies,1,1,,1,36,,43,,,,"Hudson, D.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85030697632
Cope J.,,Four Theses for Critical Library and Information Studies: A Manifesto,2017,Journal of Critical Library and Information Studies,1,1,,1,8,,5,,,,"Cope, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85030709089
"Williams S.M., Drake J.M.",,Power to the people: Documenting police violence in cleveland,2017,Journal of Critical Library and Information Studies,1,2,,1,27,,6,,,,"Williams, S.M.; Drake, J.M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85059580904
Gray L.,,Information abundance and deficit: Revisiting Elfreda Chatman's inquiry of marginal spaces and populations,0,Journal of Critical Library and Information Studies,,,,,,,1,,,,"Gray, L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85108230231
Mehra B.F.,,Extending Contemporary Relevance in the 21st Century of Elfreda Chatman’s Work from an Intersection of Critical Theory and Social Justice Imperatives,0,Journal of Critical Library and Information Studies,,,,,,,1,,,,"Mehra, B.F.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85084137200
Kim E.,,"Appraising Newness: Whiteness, Neoliberalism, and the Building of the Archive for New Poetry",0,Journal of Critical Library and Information Studies,1,2,,2017,,,1,,,,"Kim, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85063021731
