Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Teixeira Da Silva J.A.,,Cabell’s International publishing blacklist: An interview with Kathleen Berryman,2020,Journal of Radical Librarianship,6,,,16,23,,6,,,,"Teixeira Da Silva, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85094180444
Lazakis N.,,‘It is a non-negotiable order’: public libraries’ body odor bans and authoritarian aesthetics,2020,Journal of Radical Librarianship,6,,,24,52,,2,,,,"Lazakis, N.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85105989500
"Anderson J., Christen K.",,Decolonizing attribution: Traditions of exclusion,2019,Journal of Radical Librarianship,5,,,113,152,,9,,,,"Anderson, J.; Christen, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85075345801
Rapchak M.,,That which cannot be named,2019,Journal of Radical Librarianship,5,,,173,196,,2,,,,"Rapchak, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85094216491
Cridford T. J.,,"Cataloguing, knowledge, and power",2019,Journal of Radical Librarianship,5,,,61,83,,1,,,,"Cridford, T. J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85109722331
Sierpe E.,,Confronting librarianship and its function in the structure of white supremacy and the ethno state,2019,Journal of Radical Librarianship,5,,,84,102,,2,,,,"Sierpe, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85109212608
Teixeira da Silva J.A.,,The illicit and illegitimate continued use of Jeffrey Beall’s “predatory” open access black lists,2018,Journal of Radical Librarianship,4,1,,1,5,,12,,,,"Teixeira da Silva, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85049129743
Popowich S.,,"Libraries, labour, capital",2018,Journal of Radical Librarianship,4,,,6,19,,3,,,,"Popowich, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85078728395
"Olson Beal H.K., Burrow L.",,Little free libraries: A view from the back road,2017,Journal of Radical Librarianship,3,,,59,64,,2,,,,"Olson Beal, H.K.; Burrow, L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85118573714
Sierpe E.,,The election of Donald Trump to the presidency and the crisis of liberalism in librarianship,2017,Journal of Radical Librarianship,3,,,65,75,,1,,,,"Sierpe, E.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85129267480
Gohr M.,,Ethnic and racial diversity in libraries: How white allies can support arguments for decolonization,2017,Journal of Radical Librarianship,3,,,42,58,,6,,,,"Gohr, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85070809991
[No author name available],[No author id available],Radical librarians collective,2017,Journal of Radical Librarianship,,,,,,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85083337608
"Schmidt J., Hale J.",,Little Free Libraries®: Interrogating the Impact of the Branded Book Exchange,2017,Journal of Radical Librarianship.,3,,,14,41,,9,,,,"Schmidt, J.; Hale, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85044017684
Lan C.,,The digital divide in the post Snowdenera,2016,Journal of Radical Librarianship,2,,,1,32,,3,,,,"Lan, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85058330125
Soutter J.,,The core competencies for 21st century CARL (Canadian Association of Research Libraries) librarians: through a neoliberal lens,2016,Journal of Radical Librarianship,2,,,35,67,,5,,,,"Soutter, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85057081345
Lawson S.,,Editorial: Journal of radical librarianship,2015,Journal of Radical Librarianship,1,,,1,2,,1,,,,"Lawson, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85083331398
Lindsay J.,,NULL,1979,Radical Librarianship,,,,,,,2,,,,"Lindsay, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-84900132309
Lakind A.,,Sketching out the programmatic features of making justice: A Library Program Dedicated to Court-involved Youth,0,The Journal of Radical Librarianship,,,,,,,1,,,,"Lakind, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85079365220
