Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Witt S.W.,,Interwar internationalism and the rebuilding of the Catholic University of Louvain Library (1914–1928),2020,"Libraries: Culture, History, and Society",4,1,,1,28,,1,,,,"Witt, S.W.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85119339128
Daniel D.,,Knowledge is power: The rise and fall of the libraries of the United Automobile Workers,2019,"Libraries: Culture, History, and Society",3,1,,72,96,,1,,,,"Daniel, D.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85089424024
"Novotny E., Lear B.",,Welcome from the editors,2019,"Libraries: culture, history, and society",3,1,,v,viii,,1,,,,"Novotny, E.; Lear, B.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85121794112
[No author name available],[No author id available],One Hundred Years of Libraries and the Library Profession in Catalonia,2018,"Libraries: Culture, History, and Society",2,,,202,220,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85067700211
[No author name available],[No author id available],[No title available],2018,"Libraries: Culture, History, and Society",2,,,127,150,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85067693867
[No author name available],[No author id available],"The “Spirit of the Fatherland”: German-American Culture and Community in the Library and Archive of the German Society of Pennsylvania, ca. 1887-1920",2018,"Libraries: Culture, History, and Society",2,,,103,126,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85067673346
[No author name available],[No author id available],"Taking Up the Work: The Library Apprentices of Redondo Beach, California, 1909-1924",2018,"Libraries: Culture, History, and Society",2,,,170,201,,1,,,,,[No abstract available],,,,,,Final,,Scopus,2-s2.0-85067642605
Münster I.,,Libraries in the Jewish Settlements in Argentina,2018,"Libraries: Culture, History, and Society",2,,,151,169,,2,,,,"Münster, I.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85067667670
Stauffer S.M.,,Libraries Are the Homes of Books: Whiteness in the Construction of School Libraries,2017,"Libraries: Culture, History, and Society",1,2,,194,212,,2,,,,"Stauffer, S.M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85109071829
Pawley C.,,"""Missionaries of the book"" or ""central intelligence"" agents: Gender and ideology in the contest for library education in twentieth-century America",2017,"Libraries: Culture, History, and Society.",1,1,,72,96,,2,,,,"Pawley, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85056304200
Wiegand W.A.,,“‘Any Ideas?’ The American Library Association and the Desegregation of Public Libraries in the American South,2017,"Libraries: Culture, History, and Society",1,1,,1,22,,3,,,,"Wiegand, W.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85054070335
Cooke N.A.,,The GSLS Carnegie Scholars: Guests in someone else's house,2017,"Libraries: Culture, History, and Society",1,1,,46,71,,3,,,,"Cooke, N.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85040768349
