Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Grosch A.N.,6603724613;,Character printers for library systems.,1983,Library technology reports,19,6,,643,713,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020856289&partnerID=40&md5=6a499ed8fc68f19d0d91cb8ad374c017,,"Grosch, A.N.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020856289
"Williams J.F., Matthews J.R.",55728492000;57213035072;,Planning for telecommunications service.,1983,Library technology reports,19,6,,603,641,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020856123&partnerID=40&md5=303dd44b4ba0930c382953a4ceaa09db,,"Williams, J.F.; Matthews, J.R.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020856123
Saffady W.,6602088670;,Data management software for microcomputers.,1983,Library technology reports,19,5,,451,592,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020821259&partnerID=40&md5=d56f12db7d44e51dc4e1ed2a8eee46a3,,"Saffady, W.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020821259
Leclercq A.,7003890281;,Wide screen television projection systems.,1983,Library technology reports,19,4,,395,442,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020794625&partnerID=40&md5=ad65db384a1689799a64e4d34a8797dd,,"Leclercq, A.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020794625
"Matthews J.R., Williams J.F.",57213035072;55728492000;,Telecommunication technologies for libraries: a basic guide.,1983,Library technology reports,19,4,,335,394,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020791185&partnerID=40&md5=e8490cd43f61e1f9f24d51896d3f4052,,"Matthews, J.R.; Williams, J.F.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020791185
White H.S.,12799494600;,Microfiche readers for libraries.,1983,Library technology reports,19,3,,223,326,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020755446&partnerID=40&md5=e4cbd444e3cbabcf077913ebda46e77a,,"White, H.S.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020755446
"Becker J., Katzenstein G.",57198697266;6602412541;,Word processors for libraries.,1983,Library technology reports,19,2,,121,217,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020728169&partnerID=40&md5=2b48bc4b4e4d4f5453b2c3c61308351a,,"Becker, J.; Katzenstein, G.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020728169
"McQueen J., Boss R.W.",7006882918;56980127900;,High-speed telefacsimile in libraries.,1983,Library technology reports,19,1,,7,111,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020649027&partnerID=40&md5=dc7e0de16ad15ba82094439fed0e4d02,,"McQueen, J.; Boss, R.W.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020649027
"Matthews J.R., Williams J.F.",57213035072;9234773400;,The bibliographic utilities: progress and problems.,1982,Library technology reports,18,6,,609,653,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020214317&partnerID=40&md5=f4c280662a8f2d86ec4434939bd2d89a,,"Matthews, J.R.; Williams, J.F.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020214317
White H.S.,12799494600;,Computer output microform catalog readers.,1982,Library technology reports,18,6,,579,607,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020211444&partnerID=40&md5=c5de98608a5c2729020142d72e02de8e,,"White, H.S.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020211444
Grosch A.N.,6603724613;,The selection of cathode ray tube (CRT) terminals for library applications.,1982,Library technology reports,18,3,,273,371,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020132423&partnerID=40&md5=6d9eb69b2c9d6098f9112b67a22d6f78,,"Grosch, A.N.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020132423
"Boss R.W., McQueen J.",56980127900;7006882918;,Automated circulation control systems.,1982,Library technology reports,18,2,,125,266,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020110744&partnerID=40&md5=acddcaab4187ed18c8dc378b2bac1a47,,"Boss, R.W.; McQueen, J.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020110744
[No author name available],[No author id available],Photocopying equipment.,1982,Library technology reports,18,1,,5,120,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020012021&partnerID=40&md5=7c4ca10b05d7e685b509e647f8192268,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0020012021
[No author name available],[No author id available],Canon Canorama Printer 380 reader printer.,1981,Library technology reports,17,5,,417,431,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019620118&partnerID=40&md5=789f915ed33d53598d1a68e04e1c5b33,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019620118
[No author name available],[No author id available],Micron RP 700 reader printer.,1981,Library technology reports,17,5,,465,482,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019619520&partnerID=40&md5=a465100c8c2629c4cd499e368e10e6bb,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019619520
[No author name available],[No author id available],Micro Design DC580 AE reader printer.,1981,Library technology reports,17,5,,449,464,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019618011&partnerID=40&md5=b40f21128d86bbf7030b7e390b2a76bc,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019618011
[No author name available],[No author id available],Datagraphix 1500DL reader printer.,1981,Library technology reports,17,5,,433,448,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019617642&partnerID=40&md5=085342eec393766ef6f4a161671d3232,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019617642
[No author name available],[No author id available],Reader-printers for libraries: introductory comments on the LTR test program.,1981,Library technology reports,17,5,,411,412,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019615729&partnerID=40&md5=7abfcb3f9b003bb244aa6757d5d40cba,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019615729
LeClercq A.,7003890281;,"Videodisc technology: equipment, software, and educational applications.",1981,Library technology reports,17,4,,293,334,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019588414&partnerID=40&md5=06e7153a65edabf63f274d03b7c41138,,"LeClercq, A.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019588414
[No author name available],[No author id available],Microfilm readers.,1981,Library technology reports,17,3,,209,281,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019561143&partnerID=40&md5=d39cc5c31ed21f49007141b9eab73760,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019561143
"Boss R.W., Marcum D.B.",56980127900;7003824486;,On-line acquisitions systems for libraries.,1981,Library technology reports,17,2,,115,202,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019537189&partnerID=40&md5=8730c6e5dd2b8c6e8031d162c1e1ec07,,"Boss, R.W.; Marcum, D.B.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019537189
"Hanna H.L., Knight N.H.",7005913141;7007123608;,Movable compact shelving: a survey of U.S. suppliers and library users.,1981,Library technology reports,17,1,,7,105,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019347416&partnerID=40&md5=77bc3788c7721a0f17f0db67ae0cce20,,"Hanna, H.L.; Knight, N.H.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019347416
[No author name available],[No author id available],Portable microfiche readers.,1980,Library technology reports,16,6,,613,643,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019078864&partnerID=40&md5=510d1d05fee91a53a1046f02eeb48bdb,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019078864
Queen D.,7004127490;,Headphones for library and educational use.,1980,Library technology reports,16,6,,563,612,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019078554&partnerID=40&md5=d9f5df2cf0c80e5fd96351713b9f9d77,,"Queen, D.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019078554
"Boss R.W., Marcum D.B.",56980127900;7003824486;,The library catalog: com and on-line options.,1980,Library technology reports,16,5,,443,556,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019054047&partnerID=40&md5=afef019eca6b3cb63dfff9afee928a3c,,"Boss, R.W.; Marcum, D.B.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019054047
[No author name available],[No author id available],Survey of word processing equipment.,1980,Library technology reports,16,4,,303,435,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019032346&partnerID=40&md5=55919a6d4e7424889ebe8eddfa8e5375,,,[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019032346
Marcum D.B.,7003824486;,Word processing in libraries.,1980,Library technology reports,16,4,,299,301,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019032320&partnerID=40&md5=c0da6d512d68b4dc44681c929b16e6ac,,"Marcum, D.B.",[No abstract available],,242586,,,Article,Final,,Scopus,2-s2.0-0019032320
