Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
"Ryan T., Quinn B.","55233578300;7101921992;","Understanding the Library as a Commemorative Exhibition Space",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2060690","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129216443&doi=10.1080%2f01616846.2022.2060690&partnerID=40&md5=896e57f5b069cc46b5e9295c0021c02b","School of Hospitality Management Tourism, College of Arts Tourism, Technological University Dublin, Grangegorman, Dublin 7, Ireland","Ryan, T., School of Hospitality Management Tourism, College of Arts Tourism, Technological University Dublin, Grangegorman, Dublin 7, Ireland; Quinn, B., School of Hospitality Management Tourism, College of Arts Tourism, Technological University Dublin, Grangegorman, Dublin 7, Ireland","This research responds to calls to further our understanding of exhibitions in the library context by exploring the significance of a commemorative exhibition staged in a public library. Employing a qualitative methodology, it centers on the ‘Goodbye Dublin: The War of Independence in the City’ commemorative exhibition, staged by Dublin City Pearse Street Library, between August 14th and October 31st, 2019. The findings show that the commemorative nature of the exhibition appealed to a variety of new, lapsed and frequent library users, connecting with Irish and non-Irish residents, as well as tourists visiting the city. In this regard, the exhibition was effective in its objective of appealing to a new and wide-ranging audience, however, the findings underline the need for more diverse and varied marketing, if this aim is to be entirely successful. The staging of the exhibition as an active authoring and articulation of the past by the library is highlighted, and the use of multimedia is seen to transform the library into an emotionally charged, dynamic, and multisensory space. This facilitates an immersive encounter, involving interplays between the exhibition narratives and visitors’ personal memories and interests. This offers different ways for visitors to engage with the library, inspiring them to find new meanings, explore issues of personal, collective and national identities, and to reassess contemporary events. Overall, the research makes an important contribution by highlighting the complexity and importance of commemorative exhibitions in the context of public libraries. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","commemorative exhibition; dublin; encounters; multisensory; Public library",01616846,,,Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85129216443
"Wynia Baluk K., Dalmer N.K., Sas van der Linden L., Radha Weaver L., Gillett J.","57219744364;57190153868;57656654700;57657623100;7007085160;","Towards a research platform: partnering for sustainable and impactful research in public libraries",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2059315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129158018&doi=10.1080%2f01616846.2022.2059315&partnerID=40&md5=27dabb7c4706a058fef1ee38b292ed8a","Department of Health, Aging and Society, McMaster University, Hamilton, ON, Canada; Community Research Platform, McMaster University, Hamilton, ON, Canada; Collections and Program Development, Hamilton Public Library, Hamilton, ON, Canada","Wynia Baluk, K., Department of Health, Aging and Society, McMaster University, Hamilton, ON, Canada, Community Research Platform, McMaster University, Hamilton, ON, Canada; Dalmer, N.K., Department of Health, Aging and Society, McMaster University, Hamilton, ON, Canada, Community Research Platform, McMaster University, Hamilton, ON, Canada; Sas van der Linden, L., Community Research Platform, McMaster University, Hamilton, ON, Canada; Radha Weaver, L., Community Research Platform, McMaster University, Hamilton, ON, Canada, Collections and Program Development, Hamilton Public Library, Hamilton, ON, Canada; Gillett, J., Department of Health, Aging and Society, McMaster University, Hamilton, ON, Canada, Community Research Platform, McMaster University, Hamilton, ON, Canada","Public institutions are changing, alongside social, economic, and environmental forces, such as the COVID-19 pandemic. Public libraries and universities are two institutions in flux and thereby can benefit from research that helps guide decision-making. In times of austerity and crisis, resources are often stretched thin, interrupting research activities. To overcome this challenge, we draw on the authors’ experiences being involved in a research platform that consists of a public library, a university, and four other community organizations. Using the research platform as a case study, the authors examine lessons learned about sharing infrastructure to support sustainable and mutually beneficial research. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","academia; community-engaged research; partnership; public library; Research platform",01616846,,,Article,"Article in Press","",Scopus,2-s2.0-85129158018
"McMenemy D., Robinson E., Ruthven I.","8614972700;57200315881;6603708900;","The Impact of COVID-19 Lockdowns on Public Libraries in the UK: Findings from a National Study",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2058860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127537138&doi=10.1080%2f01616846.2022.2058860&partnerID=40&md5=32a3a51829942bb1176de2aa4c14c528","Information Studies, University of Glasgow, Glasgow, United Kingdom; Computer and Information Sciences, University of Strathclyde, Glasgow, United Kingdom","McMenemy, D., Information Studies, University of Glasgow, Glasgow, United Kingdom; Robinson, E., Computer and Information Sciences, University of Strathclyde, Glasgow, United Kingdom; Ruthven, I., Computer and Information Sciences, University of Strathclyde, Glasgow, United Kingdom","This paper explores how public libraries in the United Kingdom were impacted by the lockdowns imposed as a result of the COVID-19 pandemic. Freedom of Information requests were made to all UK public library services. The data received indicated that almost 65% of UK library services saw a reduction in physical loans of between 70% and 90% of pre-pandemic borrowing levels. The cumulative data also revealed that almost 120 million books that were issued in pre-pandemic years were not issued in the 2020/21 lockdown period. Meanwhile, 47% of library services saw their e-loan provision rise between 100% and 200% on pre-pandemic levels, although these numbers rose from a low base and were comparatively small when measured against physical loan losses. The data also highlighted that active membership of the public library services (members who had borrowed an item in the previous year) dropped to 40% of pre-pandemic levels across the UK. The evidence highlights that while e-loan provision rose significantly while physical library services were largely unavailable, this rise was from a very low base, and this rise in digital usage did not come close to mitigating the drop in physical borrowing that occurred across the UK. The findings of the paper suggest that even when the public had no choice but to move to digital, they did so in limited numbers when compared to usage of physical library buildings and collections. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","freedom of information; library services; pandemic; Public libraries",01616846,,,Article,"Article in Press","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85127537138
"Medina V.J.","57207203849;","Unmasking the Young Adults’ Library Responses during the COVID-19 Pandemic: A Case from Qatar",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2046411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126660615&doi=10.1080%2f01616846.2022.2046411&partnerID=40&md5=638417a764d558b63b8b81a31695c353","Children and Youngs Adult’s Department, Qatar National Library, Doha, Qatar","Medina, V.J., Children and Youngs Adult’s Department, Qatar National Library, Doha, Qatar","Providing online services and assistance to library users has become the standard practice of many libraries worldwide. It has prompted many institutions to develop strategic actions to remain relevant in the absence of physical services. Although there are numerous initiatives among public libraries for teens, there is limited literature about the provision of online services and assistance for teens during the initial months of the COVID-19 pandemic. Thus, this study seeks to highlight the services, efforts, and initiatives of Qatar National Library, specifically its Young Adult (YA) Section, in planning and implementing virtual services to address the information needs of teens during a pandemic. Additionally, this study will present information that might help library professionals design their own library plans and programs to serve young adults virtually. This paper takes a quantitative approach to share the library’s experience organizing various online events and reference services for youth development amid limited access to physical services. This case study includes information about user feedback, highlighting the teens’ experience with the library’s virtual programs. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","pandemic; Qatar national library; teens; young adults",01616846,,,Article,"Article in Press","",Scopus,2-s2.0-85126660615
"Salib G., Abbas J., Agosto D.E.","57195962783;7004969987;6507151206;","Toward the Development of Evidence-Based Programming to Support Family Digital Media Information Needs",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2044265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125958367&doi=10.1080%2f01616846.2022.2044265&partnerID=40&md5=decd28df468c2328f2b58b66fb3fa502","Information Science Department, Drexel University, Philadelphia, PA, United States; School of Library & Information Studies, University of Oklahoma, Norman, OK, United States","Salib, G., Information Science Department, Drexel University, Philadelphia, PA, United States; Abbas, J., School of Library & Information Studies, University of Oklahoma, Norman, OK, United States; Agosto, D.E., Information Science Department, Drexel University, Philadelphia, PA, United States","Library programming is one of the most important elements through which public libraries offer support for parents and families. Well-designed programming focused on implementing research findings can provide structured opportunities for socialization, education, and emotional support within families and among communities. Although family storytimes and book programs are fairly common in U.S. public libraries, fewer libraries offer programming to assist families in navigating the changing landscapes of digital media. In this article, we connect a research-based framework to the development of library programming based on projected social and learning outcomes. We recommend several types of programming models based on the framework for the development of a more intentional design of libraries and programming to support families and children. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","community engagement; Evidence-based framework; family digital media; library programming; public libraries",01616846,,,Article,"Article in Press","",Scopus,2-s2.0-85125958367
"Wahler E.A., Ressler J.D., Johnson S.C., Rortvedt C., Saecker T., Helling J., Williams M.A., Hoover D.","55445916200;57355212600;57208009311;57479769000;57480188300;26665499400;57216590954;57480606300;","Public Library-Based Social Work Field Placements: Guidance for Public Libraries Planning to Become a Social Work Practicum Site",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2044264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125896952&doi=10.1080%2f01616846.2022.2044264&partnerID=40&md5=d6cc5d047bfd569ea5d105236a2e0c2e","School of Social Work, University of North Carolina at Charlotte, Charlotte, NC, United States; Indiana University School of Social Work, Indianapolis, IN, United States; Hunter College Libraries, Hunter College, New York, NY, United States; Appleton Public Library, Appleton, WI, United States; Indianapolis Public Library, Indianapolis, IN, United States","Wahler, E.A., School of Social Work, University of North Carolina at Charlotte, Charlotte, NC, United States; Ressler, J.D., Indiana University School of Social Work, Indianapolis, IN, United States; Johnson, S.C., Hunter College Libraries, Hunter College, New York, NY, United States; Rortvedt, C., Appleton Public Library, Appleton, WI, United States; Saecker, T., Appleton Public Library, Appleton, WI, United States; Helling, J., Indianapolis Public Library, Indianapolis, IN, United States; Williams, M.A., Indianapolis Public Library, Indianapolis, IN, United States; Hoover, D., Indiana University School of Social Work, Indianapolis, IN, United States","Public libraries are increasingly faced with patron psychosocial needs, including mental health problems, substance use, homelessness, or poverty-related needs. Since library staff are often not trained to address these needs, many are choosing to host on-site social work practicum students to provide information and referrals for patrons presenting with psychosocial needs. However, little existing guidance is available about initiating a social work practicum placement, which can leave libraries unprepared and often “reinventing the wheel.” This manuscript provides guidance on the steps that should be considered by libraries intending to host their first social work practicum student. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","collaboration; field placement; patron needs; Social work; student",01616846,,,Article,"Article in Press","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85125896952
"Bell R., Goulding A.","57441970600;7005221879;","Mobile Libraries and Digital Inclusion: A Study from Aotearoa New Zealand",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2022.2029223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124144377&doi=10.1080%2f01616846.2022.2029223&partnerID=40&md5=4e2b5798bd5689fe7f75d3da652741bc","The Archives Fletcher Trust, Kristin School, Auckland, New Zealand; School of Information Management, Victoria University of Wellington, Wellington, New Zealand","Bell, R., The Archives Fletcher Trust, Kristin School, Auckland, New Zealand; Goulding, A., School of Information Management, Victoria University of Wellington, Wellington, New Zealand","Mobile libraries serve communities in a range of ways throughout Aotearoa New Zealand and internationally but their contribution to supporting digital inclusion in non-urban areas has not been explored in depth. This paper presents data from an exploratory research project focused on how mobile libraries in Aotearoa New Zealand extend digital services to those who cannot access public library buildings services conveniently. The findings show that the mobile librarians provide a range of digital inclusion services, predominantly access to technologies and skills development and, by so doing, contribute positively to digital inclusion in non-urban areas of Aotearoa New Zealand. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","digital access; digital inclusion; digital skills; mobile libraries; Public libraries",01616846,,,Article,"Article in Press","",Scopus,2-s2.0-85124144377
"Kaffashan Kakhki M., Namdar Joyame E., Malakooti Asl N., Harati H.","57212346628;57212349647;57212347113;57208101199;","Modeling the Effect of Trust on Librarians’ Knowledge Sharing: Assessing the Effect of Organizational Intelligence and Organization-Based Self-Esteem as Mediators",2022,"Public Library Quarterly",,,,"","",,,"10.1080/01616846.2021.2024326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123417608&doi=10.1080%2f01616846.2021.2024326&partnerID=40&md5=c88a497f1e9281cf15a917e965fa9883","Assistant Professor of Knowledge and Information Science, Ferdowsi University of Mashhad, Mashhad, Iran; Department of Management, University of Sistan and Baluchestan, Zahedan, Iran; PhD Student of Knowledge and Information Science, Ferdowsi University of Mashhad, Mashhad, Iran; PhD of Knowledge and Information Science, Information Center and Central Library, Ferdowsi University of Mashhad, Mashhad, Iran","Kaffashan Kakhki, M., Assistant Professor of Knowledge and Information Science, Ferdowsi University of Mashhad, Mashhad, Iran; Namdar Joyame, E., Department of Management, University of Sistan and Baluchestan, Zahedan, Iran; Malakooti Asl, N., PhD Student of Knowledge and Information Science, Ferdowsi University of Mashhad, Mashhad, Iran; Harati, H., PhD of Knowledge and Information Science, Information Center and Central Library, Ferdowsi University of Mashhad, Mashhad, Iran","The purpose of this study was to assess the effect of librarians’ trust on their knowledge sharing (KS) with regard to the role of organizational intelligence (OI) and organization-based self-esteem (OBSE) as the mediators. To do so, a theoretical model was designed and validated. To collect the data required for the study, a questionnaire was administered to a number of 212 librarians who were working in public libraries in Iran selected through stratified random sampling. For data analysis, the SMART PLS software was used. The results of the study showed that developing different types of trust in libraries through OI and OBSE increases KS. Moreover, among the factors under study, OBSE proved to have the greatest effect on the librarians’ KS. KS in libraries is supported by a variety of plans and initiatives. This study highlighted a number of organizational factors for developing the librarians’ KS. As such, library managers can make use of the librarians’ ongoing KS behavior as an efficient policy to outperform competitors. This paper contributes to the research on organizational knowledge management by elaborating on the relationship between trust and KS in staff. To the authors’ best knowledge, to date, no empirical study has been conducted on the role of trust in librarians’ KS with regard to the effect of OI and OBSE. The present study was an attempt to span this gap. © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.","knowledge management; Knowledge sharing; organization-based self-esteem; organizational intelligence; public libraries; trust",01616846,,,Article,"Article in Press","",Scopus,2-s2.0-85123417608
"Molyneux R.E., Abram S.","29067987800;57523450200;","The State of Ontario Public Libraries and Select Trends, 2000-2018: A Data Survey",2022,"Public Library Quarterly","41","2",,"189","216",,,"10.1080/01616846.2021.1873638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111304220&doi=10.1080%2f01616846.2021.1873638&partnerID=40&md5=9b40d6371ff68cd5a9d857650f2c9d9f","4800 Whitesburg Dr. SW,Suite 30-417, Huntsville, AL, United States; Lighthouse Consulting Inc, Toronto, ON, Canada","Molyneux, R.E., 4800 Whitesburg Dr. SW,Suite 30-417, Huntsville, AL, United States, Lighthouse Consulting Inc, Toronto, ON, Canada; Abram, S., 4800 Whitesburg Dr. SW,Suite 30-417, Huntsville, AL, United States, Lighthouse Consulting Inc, Toronto, ON, Canada","Canadian public library data are the responsibility of the nation’s various provinces and territories, unlike the US where there is a national-level data collection effort. Ontario public library data are collected and published annually by the province’s Ministry of Heritage, Sport, Tourism, and Culture Industries. The data have been recompiled into a longitudinal file by the Federation of Ontario Public Libraries (FOPL) which has produced two main products from the resulting FOPL Dataset. One is a method for peer comparisons, but the focus in this article is on the second: an annual Report on the condition of these libraries as revealed in each year’s new data. This article highlights results from the latest FOPL Report on the condition of Ontario’s public libraries. In addition, there is an emphasis on the fact that these Ontario data are particularly strong in measuring new capabilities of libraries resulting from changes in the information environment of public libraries. © 2021 The Author(s). Published with license by Taylor & Francis Group, LLC.","measuring changes in public libraries’ information environment; Ontario public library data",01616846,,,Article,"Final","",Scopus,2-s2.0-85111304220
"Khanchandani V.","57188972288;","Role of Public Libraries in the Evolution of Digital Bharat into Atmanirbhar Bharat",2022,"Public Library Quarterly","41","3",,"305","319",,1,"10.1080/01616846.2021.1893115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108580425&doi=10.1080%2f01616846.2021.1893115&partnerID=40&md5=18ca69570ca97fcc344e02492a65e349","Central Library, Indian Institute of Technology Delhi, New Delhi, Hauz Khas, India","Khanchandani, V., Central Library, Indian Institute of Technology Delhi, New Delhi, Hauz Khas, India","Access to information is the hallmark of democracy. The government of India is trying its best to provide free and timely information to all citizens. For bringing effectiveness and efficiency in the governance, an electronic mode of governing has been adopted. This paper endeavors to relate the digital transformation of Bharat and various information needs of citizens. The article also highlights how public libraries can help in achieving the goals of digital Bharat and end with the discussion that the government should frame the proper policy for the provision of e-government services in public libraries. © 2021 The Author(s). Published with license by Taylor & Francis Group, LLC.","citizenship information; digital Bharat; digital divide; E-governance; public libraries",01616846,,,Article,"Final","",Scopus,2-s2.0-85108580425
