Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
"Becnel K.E., Moeller R.A.","","I’m conflicted about my shelf of censorship”: High school library graphic novel collection development in North Carolina, USA",2020,"School Libraries Worldwide","26","1",,"124","135",,1,,,,"Becnel, K.E.; Moeller, R.A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85118218309
"Everhart N.","","School libraries and COVID-19",2020,"School Libraries Worldwide","26","2",,"i","ii",,1,,,,"Everhart, N.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85116408447
"Soulen R., Tedrow L., Sullivan K.","","Resilience in the aftermath: School libraries and rebounding after trauma",2020,"School Libraries Worldwide","26","2",,"27","45",,4,,,,"Soulen, R.; Tedrow, L.; Sullivan, K.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85112346632
"Kammer Jenna, Moreland Denise","","School and Public Library Collaboration: A Phenomenology of Working Together",2020,"School Libraries Worldwide","26","1",,"31","47",,1,,,,"Kammer, Jenna; Moreland, Denise",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85088501624
"Spisak J.R.","","School librarian perceptions of the importance of information literacy",2020,"School Libraries Worldwide","26","1",,"151","164",,2,,,,"Spisak, J.R.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85125991335
"Gagen-Spriggs K.","","An investigation into the reasons students read for pleasure",2020,"School Libraries Worldwide","26","1",,"110","123",,1,,,,"Gagen-Spriggs, K.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85101123993
"Burns Elizabeth A.","","AASL National School Library Standards: Progress toward Implementation",2020,"School Libraries Worldwide","26","1",,"1","12",,1,,,,"Burns, Elizabeth A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85124901548
"Reed Karen, Tharp Terri","","Application of the Teacher Citizenship Behavior (TCB) Theory to the Extra-Role Work of School Librarians",2020,"School Libraries Worldwide","26","1",,"48","60",,1,,,,"Reed, Karen; Tharp, Terri",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85124870455
"Lewis Melanie A.","","Administrators’ Instructional Leadership Perspective of the Role of Instructional Coaches and Teacher Librarians: A Comparative Examination",2019,"School Libraries Worldwide","25","2",,"16","33",,1,,,,"Lewis, Melanie A.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85115791367
"Dipetso C.M., Moahi K.H.","","Information literacy skills of high school students in Botswana: A case study of a high school in Gaborone, Botswana",2019,"School Libraries Worldwide","25","1",,"99","115",,1,,,,"Dipetso, C.M.; Moahi, K.H.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85114642332
"Rinio D.","","Social network analysis for school librarians to evaluate and improve teacher collaboration",2019,"School Libraries Worldwide","25","1",,"57","79",,1,,,,"Rinio, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85110888536
"Burns E., Gross M., Latham D.","","The information literacy continuum: Mapping the ACRL framework to the AASL school library standards",2019,"School Libraries Worldwide","25","1",,"1","20",,5,,,,"Burns, E.; Gross, M.; Latham, D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85088417505
"Baker A., Carney K., Schwark C.","","The School Librarian’s Role in the Adoption of Open Educational Resources",2019,"School Libraries Worldwide","25","1",,"81","99",,1,,,,"Baker, A.; Carney, K.; Schwark, C.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85124831606
"Oltmann Shannon M.","","Ethics, Values, and Intellectual Freedom in School Libraries",2018,"School Libraries Worldwide","24","1",,"71","86",,1,,,,"Oltmann, Shannon M.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85092743578
"Elkins Aaron. J.","","Mind the Gaps: School Librarians’ Job Descriptions and the Professional Standards for School Librarians in the United States",2018,"School Libraries Worldwide","24","1",,"87","98",,3,,,,"Elkins, Aaron. J.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85107312215
"Schultz-Jones Barbara","","Professional Standards: A Framework for Distance Learning Instructional Design",2018,"School Libraries Worldwide","24","1",,"29","44",,1,,,,"Schultz-Jones, Barbara",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85107274981
"Johnston M. P.","","Supporting STEM education: Needs assessment of southeastern rural teacher librarians",2018,"School Libraries Worldwide","24","2",,"62","79",,1,,,,"Johnston, M. P.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85106033990
"Soulen R.R., Wine L.D.","","Building Resilience in New and Beginning Teachers: Contributions of School Librarians",2018,"School Libraries Worldwide","24","2",,"80","91",,5,,,,"Soulen, R.R.; Wine, L.D.",[No abstract available],,,,,,"Final","",Scopus,2-s2.0-85083496037
