Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,ISSN,ISBN,CODEN,Document Type,Publication Stage,Open Access,Source,EID
Pun R.,,Understanding the roles of public libraries and digital exclusion through critical race theory: an exploratory study of people of color in California affected by the digital divide and the pandemic,2021,Urban Library Journal,26,2,,,,,2,,,,"Pun, R.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85114505614
"Dean H.M., Mezick J.",,An Examination of Seed Libraries across Two Academic Institutions,2020,Urban Library Journal,26,1,,,,,2,,,,"Dean, H.M.; Mezick, J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85097367469
Philogene S.,,Twitter use by academic libraries in New York state,2019,Urban Library Journal,25,2,,1,,,1,,,,"Philogene, S.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85097604062
"Carey J., Pathak A.",,Book format preferences of community college and four-year college students: Results from two urban campuses,2019,Urban Library Journal,25,1,,2,,,1,,,,"Carey, J.; Pathak, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85107452138
"Ramonetti M., Pilato V.",,"Keeping the equity, inclusion, and diversity conversations going",2019,Urban Library Journal,25,1,,1,15,,1,,,,"Ramonetti, M.; Pilato, V.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85077712563
Boyle C.,,Play time: Why video games are essential to urban academic libraries,2018,Urban Library Journal,24,1,,1,11,,3,,,,"Boyle, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85074109925
"Cooke N.A., Jacobs J.A.",,Diversity and cultural competence in the LIS classroom: A curriculum audit,2018,Urban Library Journal,24,1,,,,,5,,,,"Cooke, N.A.; Jacobs, J.A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85086331540
"Beene S., Pierard C.",,RESIST: a controversial display and reflections on the academic library’s role in promoting discourse and engagement,2018,Urban Library Journal,24,1,,1,37,,1,,,,"Beene, S.; Pierard, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85077705335
Chancellor R.L.,,Libraries as pivotal community spaces in times of crisis,2017,Urban Library Journal,23,1,,,,,1,,,,"Chancellor, R.L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85089298333
Sparks K.,,Complementary therapies in libraries: A future perspective,2017,Urban Library Journal,23,2,,,,,1,,,,"Sparks, K.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85101939225
Pionke J.J.,,Beyond ADA compliance: The library as a place for all,2017,Urban Library Journal,23,1,,1,17,,9,,,,"Pionke, J.J.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85054705774
"Borchard L., Magnuson L.",,Library leadership in open educational resource adoption and affordable learning initiatives,2017,Urban Library Journal,23,1,,1,13,,4,,,,"Borchard, L.; Magnuson, L.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85059670205
Richards M.,,24/7 Library Hours at an Urban Commuter College,2016,Urban Library Journal,22,1,,,,,3,,,,"Richards, M.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85072831947
Roh C.,,Inequalities in publishing,2016,Urban Library Journal,22,2,,,,,5,,,,"Roh, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85019547965
"Schreiner M., de los Reyes C.",,Social practice artists in the archive: collaborative strategies for documentation,2016,Urban Library Journal,22,,,1,8,,2,,,,"Schreiner, M.; de los Reyes, C.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85081729602
Berrio A.,,Differentiated instruction in information literacy courses in urban universities: how flipping the classroom can transform a course and help reach all students,2016,Urban Library Journal,22,1,,1,29,,1,,,,"Berrio, A.",[No abstract available],,,,,,Final,,Scopus,2-s2.0-85043332735
