DOI,author,title,abstract,journal,year,affiliation
10.1300/J104v45n02_04,Theresa A. Strottman,Some of our fifty are missing: Library of congress subject headings for southwestern cultures and history,"The Library of Congress Subject Headings has flaws in the logic and structure of its headings relating to the Southwest. Examples demonstrate aspects of the regional biases that make it frustrating to use LCSH for cataloging Southwest collections. The frustrations experienced by students, researchers, and library patrons trying to find detailed information on the Southwest have significant social consequences, especially for Hispanics and Native Americans. Antonio Gramsci's concepts provide a framework to present the implications of these consequences and the need to correct them. LCSH is a major cataloging and research resource both nationally and internationally. Successfully changing biased and inaccurate LCSH subject headings will exhibit social and political leadership while LCSH is providing technological leadership as a key source for developing cooperative online international authority files for subject headings.",Cataloging and Classificiation Quarterly,2007,US
10.1300/J115v21n01_03,"Hartel, Lynda Jones",Consumer health services and collections for Hispanics: An introduction,"Hispanics are the fastest growing minority population in the United States today. Providing health information services to Hispanic patients and their family members can be challenging because of diversity. Library staff should be familiar with the specific health care needs and sociocultural characteristics of Hispanics. This article discusses the movement toward providing culturally competent health care and identifies socioeconomic challenges and barriers to health care faced by Hispanics. Suggestions are offered for communicating with this group in the reference setting, and a selective bibliography of Internet consumer health resources available in both Spanish and English is provided.",Medical Reference Services Quarterly,2002,US
10.1080/02763869.2012.724285,"Cogdill, Keith W",The Frontera Collaboration: A Preliminary Report of Health Sciences Librarians Promoting Evidence-Based Practice in U.S.-Mexico Border Communities,"This article reviews the formation of the Frontera Collaboration, a coalition of health sciences librarians serving clinicians and public health personnel in the U.S.-Mexico border region. Based on findings from an assessment of the target populations' learning needs, the Frontera Collaboration participants developed a shared set of training materials that have been used in pilot training sessions. The Frontera Collaboration's participants learned several lessons related to collaborative health information outreach and increased their understanding of the concerns and needs of clinicians and public health personnel serving border communities.",Medical Reference Services Quarterly,2012,US
10.1080/02763869.2017.1259901,"El-Khayat, Yamila M.",A New Approach to Health Literacy: Working with Spanish Speaking Community Health Workers,"This case study describes the integration of pop culture, music, and scenarios into a consumer health curriculum for community health workers (CHW)/Promotoras De Salud of Hispanic/Latino decent. The class goal is to ensure that participants learn about reliable health resources and how to use them when reaching out to their clientele. This interactive approach to teaching consumer health information was something that evolved after teaching this topic for many years and finding the need to reach the CHW population and enhance their learning experience of health information.",Medical Reference Services Quarterly,2017,US
10.1177/0340035218764496,"Ndumu, Ana",An investigation of the experiences of Nicaraguan Costeño librarians,"This research examines the experiences of librarians in Bluefields, Nicaragua. Semi-structured interviews and photovoice activities were used to investigate librarians’ professional development, daily operations, and ways of meeting the information needs of Costeños—or, Miskitu, Rama, and Sumu indigenous groups as well as African-descending Creoles. The findings suggest that librarians’ accounts coincide with established knowledge on Nicaragua's library landscape: libraries are predominantly formal and education-related; Nicaraguan society values oral knowledge or word-of-mouth information; and when compared with academic libraries, Nicaraguan public libraries are fewer and lack resources. Libraries on the Atlantic coast can strengthen their services through collaborations as well as culturally-based services. Additionally, the photovoice technique was found to be an effective tool for conducting research involving multicultural communities.",IFLA Journal,2018,US
10.5195/jmla.2021.1295,"Weeks, Aidy",¡Presente!: Affirming Latinx voices within health sciences library scholarship,"Increasing diverse author representation within medical librarianship scholarship among BIPOC information professionals is an important endeavor that requires closer examination. This commentary looks to examine the ways in which the profession can support Latinx librarians and library workers in fully participating within the scholarly pipeline by exploring our unique and authentic voices, structural barriers, hesitation and fears, Whiteness in the profession and knowledge production, bias in the peer review process, lack of resources and support, and finally, a call to action. © 2021, Medical Library Association.",Journal of the Medical Library Association,2021,US
10.1300/J204v03n04_04,"Plocharczyk, Leah",Meeting multicultural needs in school libraries: An examination of Mexican migrant families and factors that influence academic success,The children of Mexican migrants face a number of hardships and difficulties that greatly hamper their ability to succeed in American schools. This paper examines some of the major difficulties and suggests multicultural programs that school librarians can implement in order to help migrant children achieve academic success.,Journal of Access Services,2007,US
10.1177/0894439318779342,"Bailey, Mandi Bates",Addressing Women and Minorities on Social Media by the 2016 U.S. Presidential Candidates,"Donald Trump’s bombastic statements regarding women and minorities were a constant theme in the 2016 presidential election and attracted attention from both the mainstream media and his opponent, Hillary Clinton. Given the increasing use of social networking sites among political actors and the public, as well as the focus given to women and minorities in the 2016 election, we utilize a content analysis of presidential candidates’ social media activity in the months preceding the election in order to better understand how the candidates addressed women and minorities. We ultimately find that Democratic candidate Hillary Clinton out-posted Trump in both positive and negative content in the categories of women’s issues; lesbian, gay, bisexual, and transgender issues; race; and immigration. However, this is not the case with issues involving crime and police, which was a lens through which Trump was more likely to approach race-related issues. In many instances, the candidates also appeared to strategically target content-specific posts to the social media platforms where they would be most likely to be seen by women or the minority group most closely related to the post’s content.",Social Science Computer Review,2019,US
10.5209/rgid.74703,"Salgado, Francisco Salas",[en] Incunabula preserved at the Library of the University of La Laguna: books written in Latin and translations in an Insular Atlantic Society,"The aim of this article is the study of incunabula preserved in the Ancient Books Repository at the University of La Laguna, texts that may have been in this city at that time after the conquest by the Castilian Crown. We will pay particular attention to printed matter written in Latin and translations into Latin or from Latin into Spanish. It will be seen, moreover, that, despite the rise and consolidation of the romance vernacular languages, most of these books were written in Latin, the language of culture that served as a link between the various and most distant places in Western Europe, and in which science, knowledge and literary creation were expressed. Some of these works belonged to the libraries of the various religious orders established on the island in those early times.",Revista General de Informacion y Documentacion,2021,Spain
10.1108/AJIM-12-2014-0181,"Kim, Henna",Health information seeking of low socioeconomic status Hispanic adults using smartphones,"Purpose – Smartphones have great potential to bridge the digital divide that low-socioeconomic status (SES) Hispanics have been experiencing. However, little is known about this group’s use of smartphones for health information. The purpose of this paper is to fill the gap by exploring the context in which smartphones were used for health information. Design/methodology/approach – The authors interviewed 20 low-SES Hispanic participants using the semi-structured interview method. Participants had not obtained college degrees and had annual incomes less than $30,000, but had used their smartphones for health information. The interviews were transcribed and analyzed using the qualitative content analysis method. Findings – Being economical was an important reason for low-SES Hispanic users to use smartphones for health information. The users relied heavily on public Wi-Fi to access the internet. They searched a wide range of health topics, mostly using the mobile web rather than apps. They lacked knowledge and skills to effectively using apps, evaluating the quality of health information, and comprehend information. Research limitations/implications – Having access to smartphones alone does not help bridge the digital gap for low-SES Hispanics. Interventions need to consider improving these users’ smartphone literacy and health literacy, as well as improving their access to Wi-Fi services and to more quality content in Spanish. Originality/value – Prior studies speculated that smartphones could be a means to bridge digital divide experienced by the Hispanic ethnic group. This study provided empirical knowledge about how smartphones are used by these users for health information, and shed light on the design of future informational interventions.",Aslib Journal of Information Management,2015,US
