Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Vieira C.,56188252900;,Dislocating a Trade Network: New Christian and Jewish Merchants Between the Portuguese and the British Empires (1700-1730),2021,RiMe Rivista dell'Istituto di Storia dell'Europa Mediterranea,9,2Special issue,,195,229,,,10.7410/1513,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128955556&doi=10.7410%2f1513&partnerID=40&md5=2095031edec9f6a2d66b27e63bc3ea00,"CHAM, Faculdade de Ciências Sociais e Humanas FCSH, Universidade NOVA de Lisboa, Lisboa, 1069-061, Portugal; Cátedra de Estudos Sefarditas Alberto Benveniste, FLUL, Portugal","Vieira, C., CHAM, Faculdade de Ciências Sociais e Humanas FCSH, Universidade NOVA de Lisboa, Lisboa, 1069-061, Portugal, Cátedra de Estudos Sefarditas Alberto Benveniste, FLUL, Portugal","This article correlates the transformations of the Lisbon’s commercial elite during the first half of the 18th century, the Inquisition repression against New Christians, and the Sephardic influx to London in the 1720s- 1730s. These intertwined events are considered under the framework of the Anglo-Portuguese relations. Our analysis focuses on the crisscrossed trajectories of three New Christian merchants, which illustrate how changes in the profile of the mercantile group of Lisbon and the migratory flows to London are key points to understand the dynamics of the Anglo- Portuguese trade in the 18th century. © 2021 Author(s).",Inquisition; Lisbon; London; Migrations; Sephardim,,"NOVA FCSH / UAc; Fundação para a Ciência e a Tecnologia, FCT: SFRH/BPD/109606/2015, UID/HIS/04666/2019, UIDB/04666/2020","This article had the support of CHAM (NOVA FCSH / UAc), through the strategic proecj t sponsored by FCT (UID/HIS/04666/2019) and (UIDB/04666/2020). The research aw s supported by FCT (SFRH/BPD/109606/2015).","Carla Vieira is a post-doctoral researcher at the CHAM (NOVA FCSH/ Uaç ), with the project “Nation between Empires: New Christians and Portuguese Jews in Anglo-Portuguese Relations (first half of the 18th century)”, funded by the FCT (SFRH/BPD/109606/2015), website: < tps://nationbetweenempires. wordpress.com > She is the principal investigator of the project Western Sephardic Diaspora Roadmap, developed by the CHAM and the Digital Humanities Lab and supported by international funding. She is editor of the journal Cadernos de Estudos Sefarditas, published by the Cátedra de Estudos Sefarditas Alberto Benveniste.","This article had the support of CHAM (NOVA FCSH UAc), through the strategic project sponsored by FCT (UID/HIS/04666/2019) and (UIDB/04666/2020). The research was supported by FCT (SFRH/BPD/109606/2015).",,,,,,,,"Vieira, C.; CHAM, Portugal",,Consiglio Nazionale delle Ricerche Istituto di Storia dell'Europa Mediterranea,2035794X,,,,English,RiMe Riv. dell’Istit. Sto. dell’Europa Medit.,Article,Final,,Scopus,2-s2.0-85128955556
Vietri S.,54788511800;,Locatum and location verbs in Italian A Lexicon-grammar analysis,2021,Lingvisticae Investigationes,44,2,,153,203,,,10.1075/li.00061.vie,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127689365&doi=10.1075%2fli.00061.vie&partnerID=40&md5=24a79539a9e9d5edfb28b5239f8a77bd,"Università di Salerno, Italy","Vietri, S., Università di Salerno, Italy","In this paper I claim that Italian location and locatum verbs constitute two syntactically distinct classes of verbs. Location verbs are derived from a noun corresponding to a location, and behave similarly to standard verbs of caused motion. Locatum verbs are derived from a noun corresponding to the located entity, and behave similarly to croisés verbs. Despite these similarities, the derivational structure of locatum and location verbs has an impact on their syntactic structure. For this reason locatum and location verbs cannot be included in the classes of croisés and standard verbs, respectively. They deserve a separate classification. © John Benjamins Publishing Company.",croisés verbs; Denominal verbs; location verbs; locatum verbs; standard verbs,,,,,,,,,,,,,"Vietri, S.; Dipartimento di Scienze Politiche e della Comunicazione/DISPC, VSA, ia Giovanni Paolo II, 132, Italy; email: vietri@unisa.it",,John Benjamins Publishing Company,3784169,,,,English,Lingvisticae Investigationes,Article,Final,,Scopus,2-s2.0-85127689365
"Correia D., Teixeira L., Marques J.L.",57226055790;22434117100;55600379800;,Reviewing the state-of-the-art of smart cities in Portugal: Evidence based on content analysis of a Portuguese magazine,2021,Publications,9,4,49,,,,1,10.3390/publications9040049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118344609&doi=10.3390%2fpublications9040049&partnerID=40&md5=eabafb786a303aa076319ba01860b7cf,"Governance, Competitiveness and Public Policy (GOVCOPP), Department of Economics, Management, Industrial Engineering and Tourism (DEGEIT), University of Aveiro, Aveiro, 3010-193, Portugal; Department of Economics, Management, Industrial Engineering and Tourism (DEGEIT), Institute of Electronics and Informatics Engineering of Aveiro (IEETA), University of Aveiro, Aveiro, 3010-193, Portugal; Governance, Competitiveness and Public Policy (GOVCOPP), Department of Social, Political and Territorial Sciences (DCSPT), University of Aveiro, Aveiro, 3010-193, Portugal","Correia, D., Governance, Competitiveness and Public Policy (GOVCOPP), Department of Economics, Management, Industrial Engineering and Tourism (DEGEIT), University of Aveiro, Aveiro, 3010-193, Portugal; Teixeira, L., Department of Economics, Management, Industrial Engineering and Tourism (DEGEIT), Institute of Electronics and Informatics Engineering of Aveiro (IEETA), University of Aveiro, Aveiro, 3010-193, Portugal; Marques, J.L., Governance, Competitiveness and Public Policy (GOVCOPP), Department of Social, Political and Territorial Sciences (DCSPT), University of Aveiro, Aveiro, 3010-193, Portugal","The lack of examples of smart-city initiatives and the sharing of best practices in Portugal confirm the gap in the transference of empirical knowledge to the scientific literature in this area. The smart-city concept has passed through three stages. However, its evolution has not been noted equally throughout countries and their territories. The literature only provides information about specific projects implemented in a few cities. Therefore, the aim of this paper was to study the state-of-the-art of smart cities in Portugal by analyzing 25 editions of the most relevant national-wide smart-cities magazine. First, the objective of analyzing the magazine was to study each Portuguese city in terms of the subject areas and types of existing initiatives in order, ultimately, to frame cities within their respective smart-city phases, as per the literature. Second, the aim of the paper was also to provide information about the evolution of the concept through analyses of embedded experts’ quotes. The results of the first are complemented with the analysis of interviews with policymakers to provide information about the existing challenges to implementing a smart city and to understand the role of government therein. Qualitative and quantitative analyses were performed on the case study. The findings suggest that the three smart-city phases are perceived in slightly different ways in Portugal and heterogeneity within the country can be noted from the lack of strategies and a standard framework. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Empirical evidence; Portugal; Smart city; State-of-the-art,,"UIDB/00127/2020; Fundação para a Ciência e a Tecnologia, FCT","This work was support by the research project SOLFI-Urban logistics optimization system with integrated freight and passenger flows (POCI-01-0247-FEDER-039870) and by the research project DRIVIT-UP?DRIVIng forces of urban Transformation: assessing pUblic Policies (POCI-01? 0145-FEDER-031905). It is also developed within the research unit on Governance, Competitiveness and Public Policy (UIDB/04058/2020) and the Institute of Electronics and Informatics Engineering of Aveiro (UIDB/00127/2020), both funded by national funds through FCT?Funda??o para a Ci?ncia e a Tecnologia.","Funding: This work was support by the research project SOLFI-Urban logistics optimization system with integrated freight and passenger flows (POCI-01-0247-FEDER-039870) and by the research project DRIVIT-UP—DRIVIng forces of urban Transformation: assessing pUblic Policies (POCI-01– 0145-FEDER-031905). It is also developed within the research unit on Governance, Competitiveness and Public Policy (UIDB/04058/2020) and the Institute of Electronics and Informatics Engineering of Aveiro (UIDB/00127/2020), both funded by national funds through FCT—Fundação para a Ciência e a Tecnologia.",,,,,,,,,"Correia, D.; Governance, Portugal; email: diogo.correia@ua.pt",,MDPI,23046775,,,,English,Publ.,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85118344609
"Roig-Marín A., Prieto S.",57189841823;57297064400;,English literature students' perspectives on digital resources in a Spanish university,2021,Journal of Academic Librarianship,47,6,102461,,,,,10.1016/j.acalib.2021.102461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117101121&doi=10.1016%2fj.acalib.2021.102461&partnerID=40&md5=0eabceda4b4b4d28ce789b5a5729eb66,"University of Alicante, Department of English Philology, Carretera de San Vicente del Raspeig s/n, San Vicente del Raspeig, Alicante  03690, Spain","Roig-Marín, A., University of Alicante, Department of English Philology, Carretera de San Vicente del Raspeig s/n, San Vicente del Raspeig, Alicante  03690, Spain; Prieto, S., University of Alicante, Department of English Philology, Carretera de San Vicente del Raspeig s/n, San Vicente del Raspeig, Alicante  03690, Spain","Digital resources have been more widely used in the university classroom since the Spring semester of 2020, but the reality is that Covid-19 simply accelerated an already leading tendency in education. The pedagogical potential of teaching with digital resources, editions and collections remains largely unexplored in the Spanish university context, especially in relation to the study of literary and historical texts. This article reports on a case study at the University of Alicante. An online questionnaire was dispensed to 134 English Studies undergraduates at Alicante in order to elicit the students' responses to electronic resources, their knowledge, uses and attitudes towards them. We also attempted to gauge their engagement with the library services at Alicante and beyond. The results indicate a statistically significant preference for electronic over print resources. Nevertheless, they also suggest the students' low degree of awareness of digital resources and their inability to discriminate between digital resources and general Internet sources. A lack of familiarity with the full potential that libraries offer is also reported, which stresses the need for further training in what seems to be a neglected but crucial area of their studies. © 2021 The Authors",Electronic resources; English studies; Spanish universities; students' responses,,"2020-21; European Research Council, ERC: 2016-2022, H2020-EU.1.1","As recent as June 2021, Huw Jones (Cambridge Digital Humanities) and Dr Laura McCormick Kilbride (Research Fellow in English, Cambridge University) started working on the digitization of the correspondence between the poet and First World War veteran David Jones and his patron Harold Stanley (Jim) Ede, founder of the Kettle's Yard Museum, and there are many other projects well underway. One of them is CLASP (A Consolidated Library of Anglo-Saxon Poetry) funded by the European Research Council (H2020-EU.1.1, 2016-2022) and hosted by the University of Oxford. CLASP has the intention of producing “for the first time an online and interactive consolidated library” on all surviving verse on Anglo-Saxon England. The project will “use the full panoply of digital resources, including sound- and image-files where relevant, to make the oldest surviving poetry in England available to a modern audience for unprecedented kinds of exploration, comprehensive analysis, and interrogation”.",The present investigation was funded by the ?Programa de Redes-I3CE de investigaci?n en docencia universitaria del Instituto de Ciencias de la Educaci?n de la Universidad de Alicante (convocatoria 2020-21)?. Ref.: 5114.,The present investigation was funded by the “Programa de Redes-I 3 CE de investigación en docencia universitaria del Instituto de Ciencias de la Educación de la Universidad de Alicante (convocatoria 2020-21)”. Ref.: 5114 .,,,,,,,,"Roig-Marín, A.; University of Alicante, Carretera de San Vicente del Raspeig s/n, Spain; email: amanda.roig@ua.es",,Elsevier Ltd,991333,,,,English,J. Acad. Librariansh.,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85117101121
"Pérez V., Aybar C., Pavía J.M.",57226481593;57195516615;25628568300;,Spanish electoral archive. SEA database,2021,Scientific Data,8,1,193,,,,,10.1038/s41597-021-00975-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111636973&doi=10.1038%2fs41597-021-00975-y&partnerID=40&md5=1c734b35d935479d56029b0b2faa25ec,"GIPEyOP, Área de Métodos Cuantitativos, Departamento de Economía Aplicada, Facultat d’Economía, Universitat de Valencia, Valencia, Spain; GIPEyOP, UMICCS, Área de Métodos Cuantitativos, Departamento de Economía Aplicada, Facultat d’Economía, Universitat de Valencia, Valencia, Spain","Pérez, V., GIPEyOP, Área de Métodos Cuantitativos, Departamento de Economía Aplicada, Facultat d’Economía, Universitat de Valencia, Valencia, Spain; Aybar, C., GIPEyOP, Área de Métodos Cuantitativos, Departamento de Economía Aplicada, Facultat d’Economía, Universitat de Valencia, Valencia, Spain; Pavía, J.M., GIPEyOP, UMICCS, Área de Métodos Cuantitativos, Departamento de Economía Aplicada, Facultat d’Economía, Universitat de Valencia, Valencia, Spain","This paper introduces the SEA database (acronym for Spanish Electoral Archive). SEA brings together the most complete public repository available to date on Spanish election outcomes. SEA holds all the results recorded from the electoral processes of General (1979–2019), Regional (1989–2021), Local (1979–2019) and European Parliamentary (1987–2019) elections held in Spain since the restoration of democracy in the late 70 s, in addition to other data sets with electoral content. The data are offered for free and is presented in a homogeneous and friendly format. Most of the databases are available for download with data from various electoral levels, including from the ballot box level. This paper details how the information is organized, what the main variables are on offer for each election, which processes were applied to the data for their homogenization, and discusses future areas of work. This data has many applications, for example, as inputs in election prediction models and in ecological inference algorithms, to study determinants of turnout or voting, or for defining marketing strategies. © 2021, The Author(s).",,algorithm; article; democracy; election; information center; marketing; prediction; Spain,"Generalitat Valenciana, GVA: AICO/2021/257","The authors wish to thank Marie Hodkinson for translating the text of the paper into English, the Editorial Board Member Mercè Crosas for her first-rate assistance answering all our queries, including issues about the submission process and where to deposit our data sets and two anonymous reviewers for their valuable suggestions. The authors acknowledge the support of Generalitat Valenciana through project AICO/2021/257 (Consellería d’Innovació, Universitats, Ciència i Societat Digital).",,,,,,,,,,"Pavía, J.M.; GIPEyOP, Spain; email: pavia@uv.es",,Nature Research,20524463,,,34321488,English,Sci. Data,Data Paper,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85111636973
"Rodrigues da Silva J., Caseli H.M.",57222178462;35791183000;,Sense representations for Portuguese: experiments with sense embeddings and deep neural language models,2021,Language Resources and Evaluation,55,4,,901,924,,,10.1007/s10579-020-09525-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101799032&doi=10.1007%2fs10579-020-09525-1&partnerID=40&md5=e632ce2d695193e6eb27dd1d6e988cba,"Federal University of São Carlos (UFSCar), São Carlos, Brazil","Rodrigues da Silva, J., Federal University of São Carlos (UFSCar), São Carlos, Brazil; Caseli, H.M., Federal University of São Carlos (UFSCar), São Carlos, Brazil","Sense representations have gone beyond word representations like Word2Vec, GloVe and FastText and achieved innovative performance on a wide range of natural language processing tasks. Although very useful in many applications, the traditional approaches for generating word embeddings have a strict drawback: they produce a single vector representation for a given word ignoring the fact that ambiguous words can assume different meanings. In this paper, we explore unsupervised sense representations which, different from traditional word embeddings, are able to induce different senses of a word by analyzing its contextual semantics in a text. The unsupervised sense representations investigated in this paper are: sense embeddings and deep neural language models. We present the first experiments carried out for generating sense embeddings for Portuguese. Our experiments show that the sense embedding model (Sense2vec) outperformed traditional word embeddings in syntactic and semantic analogies task, proving that the language resource generated here can improve the performance of NLP tasks in Portuguese. We also evaluated the performance of pre-trained deep neural language models (ELMo and BERT) in two transfer learning approaches: feature based and fine-tuning, in the semantic textual similarity task. Our experiments indicate that the fine tuned Multilingual and Portuguese BERT language models were able to achieve better accuracy than the ELMo model and baselines. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.",Deep neural language models; Portuguese; Sense embeddings; Word embeddings; Word sense disambiguation,,"2016/13002-0; Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP",This work was part of MMeaning Project supported by S?o Paulo Research Foundation (FAPESP?Regular Grant #2016/13002-0).,,,,,,,,,,"Rodrigues da Silva, J.; Federal University of São Carlos (UFSCar)Brazil; email: jsc.rodrigues@gmail.com",,Springer Science and Business Media B.V.,1574020X,,,,English,Lang. Resour. Eval.,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85101799032
"Sanz-Casado E., De Filippo D., Benavent R.A., Røeggen V., Pölönen J.",6508331825;24079774200;57290553500;57499580200;56244719000;,"Impact and visibility of Norwegian, Finnish and Spanish journals in the fields of humanities",2021,Scientometrics,126,11,,9031,9049,,,10.1007/s11192-021-04169-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116748444&doi=10.1007%2fs11192-021-04169-6&partnerID=40&md5=b5858e4303f86554884f87821cd4602a,"Department of Library and Information Science, Carlos III University of Madrid (UC3M), Getafe, Spain; INAECU Research Institute for Higher Education and Science (UAM-UC3M), Madrid, Spain; Ingenio Institute UISYS, Joint Research Unit, Universitat de València-CSIC, Valencia, Spain; Universities Norway, Oslo, Norway; Federation of Finnish Learned Societies, Helsinki, Finland","Sanz-Casado, E., Department of Library and Information Science, Carlos III University of Madrid (UC3M), Getafe, Spain, INAECU Research Institute for Higher Education and Science (UAM-UC3M), Madrid, Spain; De Filippo, D., Department of Library and Information Science, Carlos III University of Madrid (UC3M), Getafe, Spain, INAECU Research Institute for Higher Education and Science (UAM-UC3M), Madrid, Spain; Benavent, R.A., Ingenio Institute UISYS, Joint Research Unit, Universitat de València-CSIC, Valencia, Spain; Røeggen, V., Universities Norway, Oslo, Norway; Pölönen, J., Federation of Finnish Learned Societies, Helsinki, Finland","This article analyses the impact and visibility of scholarly journals in the humanities that are publishing in the national languages in Finland, Norway and Spain. Three types of publishers are considered: commercial publishers, scholarly society as publisher, and research organizations as publishers. Indicators of visibility and impact were obtained from Web of Science, SCOPUS, Google Metrics, Scimago Journal Rank and Journal Citation Report. The findings compiled show that in Spain the categories “History and Archaeology” and “Language and Literature” account for almost 70% of the journals analysed, while the other countries offer a more homogeneous distribution. In Finland, the scholarly society publisher is predominant, in Spain, research organization as publishers, mostly universities, have a greater weighting, while in Norway, the commercial publishers take centre stage. The results show that journals from Finland and Norway will have reduced possibilities in terms of impact and visibility, since the vernacular language appeals to a smaller readership. Conversely, the Spanish journals are more attractive for indexing in commercial databases. Distribution in open access ranges from 64 to 70% in Norwegian and Finish journals, and to 91% in Spanish journals. The existence of DOI range from 31 to 41% in Nordic journals to 60% in Spanish journals and has a more widespread bearing on the citations received in all three countries (journals with DOI and open access are cited more frequently). © 2021, The Author(s).",Finland; Humanities journals; Impact indicators; Journals evaluation; Norway; Spain; Visibility indicators,,"Universidad Carlos III de Madrid, UC3M",,,,,,,,,,,"De Filippo, D.; Department of Library and Information Science, Spain; email: dfilippo@bib.uc3m.es",,Springer Science and Business Media B.V.,1389130,,,,English,Scientometrics,Article,Final,"All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85116748444
"Córdoba-Cabús A., Hidalgo-Arjona M., López-Martín Á.",57208113528;57458819200;57219651671;,Coverage of the 2021 Madrid regional election campaign by the main Spanish newspapers on Twitter: natural language processing and machine learning algorithms [Cobertura de diarios en Twitter de las elecciones autonómicas de Madrid 2021. Procesamiento de lenguaje natural y algoritmos de aprendizaje automático],2021,Profesional de la Informacion,30,6,e300611,,,,,10.3145/epi.2021.nov.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124914593&doi=10.3145%2fepi.2021.nov.11&partnerID=40&md5=c0ac3b8a1c2ba4b40e31041887e6feba,"Universidad de Málaga Departamento de Periodismo León, Tolstoi, s/n, Málaga, 29071, Spain; Instituto de Ingeniería del Conocimiento Francisco Tomás y Valiente, 11 EPS, Edificio B, 5ª planta, Madrid, 28049, Spain","Córdoba-Cabús, A., Universidad de Málaga Departamento de Periodismo León, Tolstoi, s/n, Málaga, 29071, Spain; Hidalgo-Arjona, M., Instituto de Ingeniería del Conocimiento Francisco Tomás y Valiente, 11 EPS, Edificio B, 5ª planta, Madrid, 28049, Spain; López-Martín, Á., Universidad de Málaga Departamento de Periodismo León, Tolstoi, s/n, Málaga, 29071, Spain","The aim of this work is to study the news coverage by the main Spanish generalist newspapers on Twitter during the campaign for the Community of Madrid elections in 2021 (n = 2,709). Natural language processing techniques and machine learning algorithms are applied to identify the predominant topic related to the elections and the mentions of candidates and political parties by each media, and to calibrate the emotional value of the messages published by El país, El mundo, Eldiario.es, and El confidencial. Among other findings, the results reveal how the media coverage focused mainly on campaign events and electoral debates. Despite the detection of minor differences between the newspapers, a general pattern emerges through this content, with a notable dominance of Isabel Díaz Ayuso but little influence of Rocío Monasterio as the lead candidates for their party. The sentiment analysis reveals the political alignment of each newspaper, using mainly negative messages with the aim of reducing the importance of a candidate or political party. While El país and Eldiario.es focused their criticism on Vox and the Partido Popular, El mundo and El confidencial criticized the actions of the national government, the PSOE’s proposal to join forces with Unidas Podemos, and Vox’s position, as well as emphasizing the disaster faced by Ciudadanos. It can be deduced that the media contributed to Ayuso’s success and to the consolidation of her image as an individual distinct from her own party. © 2021, El Profesional de la Informacion. All rights reserved.",Clusters; Elections; Electoral campaigns; LDA; Machine learning; Madrid; Politics; Reference press; Sentiment analysis; Social media; Social networks; Spain; Twitter,,,,,,,,,,,,,"Córdoba-Cabús, A.; Universidad de Málaga Departamento de Periodismo León, Tolstoi, s/n, Spain; email: albacordoba@uma.es",,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,,Scopus,2-s2.0-85124914593
"Mateos-Pérez J., Sirera-Blanco R.",55602250600;57458817500;,Taxonomy of Spanish television series in the digital era (2000-2020) [Taxonomía de las series de televisión españolas en la era digital (2000-2020)],2021,Profesional de la Informacion,30,6,e300608,,,,,10.3145/epi.2021.nov.08,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124911160&doi=10.3145%2fepi.2021.nov.08&partnerID=40&md5=95e06a8aed219019078613402d8231e9,"Universidad Complutense de Madrid, Facultad de Ciencias de la Información, Dpto. de Periodismo y Comunicación Global, Av. Complutense, 3, Madrid, 28040, Spain","Mateos-Pérez, J., Universidad Complutense de Madrid, Facultad de Ciencias de la Información, Dpto. de Periodismo y Comunicación Global, Av. Complutense, 3, Madrid, 28040, Spain; Sirera-Blanco, R., Universidad Complutense de Madrid, Facultad de Ciencias de la Información, Dpto. de Periodismo y Comunicación Global, Av. Complutense, 3, Madrid, 28040, Spain","This article analyzes all fiction series and miniseries produced and broadcasted in Spain on linear and digital television channels as well as video-on-demand platforms in the period 2000–2020. The aim is to collect, quantify, classify, and characterize Spanish-produced television series. A methodology with a mixed, quantitative–qualitative design is proposed to quantify, classify, and categorize the 545 identified fictional works. The resulting database includes fields for the year of first broadcast, format, genre, platform, channel, number of episodes and seasons, duration, and rating. This taxonomy is the first to present a complete characterization of all fictional series produced and broadcasted in Spain during the digital era. Based on the results, three periods can be distinguished: the development of the series, the economic crisis of 2008, and the arrival of video-on-demand platforms in Spain. It is concluded that comedies have been overwhelmed by other major genres, such as dramas or police series. Television series are adapting to the new society that consumes them, portraying its social debates, fears, and aspirations through new themes while also reducing their length, mixing some genres with others, and with an increasing presence and prominence of female characters to the detriment of men. © 2021, El Profesional de la Informacion. All rights reserved.",Digital television; Free-to-air television channels; Miniseries; Regional television; Spain; Television; Television fiction; Television formats; Television production; Television series; Video-on-demand services; VoD,,,,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85124911160
"Garmendia M., Karrera I., Larrañaga N., Garitaonandia C.",57458589900;36992358300;37005908200;7801361993;,The role of school mediation in the development of digital skills among Spanish minors,2021,Profesional de la Informacion,30,6,e300615,,,,,10.3145/epi.2021.nov.15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124908806&doi=10.3145%2fepi.2021.nov.15&partnerID=40&md5=8016337181211fb673aa4ba9dca1f81d,"Universidad del País Vasco/Euskal Herriko Unibersitatea Fac. de Educación, Filosofía y Antropología Edificio II, Plaza Oñati, 3, Donostia San Sebastián, 20018, Spain; Universidad del País Vasco/Euskal Herriko Unibersitatea Fac. de Educación, Filosofía y Antropología Edificio I, Avda de Tolosa, 70, Donostia San Sebastián, 20018, Spain","Garmendia, M., Universidad del País Vasco/Euskal Herriko Unibersitatea Fac. de Educación, Filosofía y Antropología Edificio II, Plaza Oñati, 3, Donostia San Sebastián, 20018, Spain; Karrera, I., Universidad del País Vasco/Euskal Herriko Unibersitatea Fac. de Educación, Filosofía y Antropología Edificio II, Plaza Oñati, 3, Donostia San Sebastián, 20018, Spain; Larrañaga, N., Universidad del País Vasco/Euskal Herriko Unibersitatea Fac. de Educación, Filosofía y Antropología Edificio I, Avda de Tolosa, 70, Donostia San Sebastián, 20018, Spain; Garitaonandia, C., Universidad del País Vasco/Euskal Herriko Unibersitatea Fac. de Educación, Filosofía y Antropología Edificio I, Avda de Tolosa, 70, Donostia San Sebastián, 20018, Spain","Given the growing importance of digital literacy in children’s education, this article analyzes the role of school mediation in the development of digital competences among Spanish minors. Based on the results obtained from a survey of 2,900 Spanish schoolchildren between the ages of 9 and 17 years conducted at the end of 2018, we explore their attachment to their school, the digital mediation they receive at the center, and their digital competences. The data show that they have a positive feeling of belonging to their school. The most widespread competences among minors are precisely those most related to the playful use of digital devices. Analysis of the association between school mediation and the acquisition of various types of digital skills shows that mediation is effective in the acquisition of most competences among pre-adolescents, confirming the need for early school mediation. There is no doubt that media and digital education contributes to the achievement of more inclusive environments. Educational policies oriented toward safer use of the Internet and a change in the pedagogical paradigm in primary and secondary education should contribute to enhanced development of digital skills during childhood and adolescence. © 2021, El Profesional de la Informacion. All rights reserved.",Abilities; Adolescents; Aptitudes; Children; Digital competences; Digital skills; Educational use of the computer; Girls; Internet; Kids; Literacy; Primary school; Problematic internet use; School environment; School mediation; Secondary school; Skills; Technologic education; Teenagers,,"CSO2017-88431-R; European Commission, EC: INEA/CEF/ICT/A2018/163442; Innovation and Networks Executive Agency, INEA","This article is a result of a project funded by the Ministry of Economic Affairs and Digital Transformation of Spain (Mineco) [CSO2017-88431-R]; by the National Institute of Cybersecurity (Incibe) of Spain, and by the Innovation and Networks Executive Agency (INEA) of the European Commission [INEA/CEF/ICT/A2018/163442].",,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,English,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85124908806
