Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,,,,,,,,,
Innocentini Hayashi M.C.P.,24467812100;,Academic obituaries: analysis of posthumous tributes of science in scientific journals [Obituários acadêmicos: análise de homenagens póstumas da ciência em periódicos científicos] [Obituarios académicos: análisis de homenajes póstumos de la ciencia en revistas científicas],2022,Ciencia da Informacao,50,2,,70,88,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129717949&partnerID=40&md5=254069e6f8abb41e9a31ec5afcf27df6,"Universidade Federal de São Carlos (UFSCar), SP, São Carlos, Brazil","Innocentini Hayashi, M.C.P., Universidade Federal de São Carlos (UFSCar), SP, São Carlos, Brazil","Obituaries have been studied in the literary, journalistic and sociological fields through analyzes that point to issues related to social markers of gender, class, ethnicity and age differences. However, studies that analyze academic obituaries published in scientific journals are still scarce in the area of Information Science, and in Brazil almost nonexistent. In order to fill this gap, this article sought to answer the following questions: which categories should comprise a model of analysis of academic obituaries, and how are they characterized when they are published in Brazilian scientific journals? Theoretically the study is anchored in the fields of Information Science and Sociology of Science. As a methodological resource, bibliometric and content analyzes were used. The analysis model was composed of a set of indicators based on revealing categories of the profiles of the journal, the obituary, the person deceased and the obituarist as well as the academic and personal attributes, values and virtues of the deceased academics. The analysis model was applied to academic obituaries (n = 309) from eight areas of knowledge published between 2009 and 2019 in journals (n = 94) in the SciELO eletronic library. The results showed the innumerous particularities of the life and work of the persons deceased, offering a revealing portrait of what is valued by the academic community and area of knowledge in which they are inscribed. © 2022, Brazilian Institute for Information in Science and Technology. All rights reserved.",Academic obituaries; Bibliometrics; Information Science; Sociology of Science,,,,,,,,,,,,,"Innocentini Hayashi, M.C.P.; Universidade Federal de São Carlos (UFSCar), SP, Brazil; email: dmch@ufscar.br",,Brazilian Institute for Information in Science and Technology,1001965,,,,Portuguese,Cienc. Inf.,Article,Final,,Scopus,2-s2.0-85129717949,,,,,,,,,
"de Souza Fonseca D.L., Paletta F.C.",57277066800;56315280900;,INNOVATION IN INFORMATION SERVICES AND THE LIBRARY OF THINGS [A INOVAÇÃO EM SERVIÇOS DE INFORMAÇÃO E A BIBLIOTECA DAS COISAS] [INNOVACIÓN EN LOS SERVICIOS DE INFORMACIÓN Y LA BIBLIOTECA DE LAS COSAS],2022,"Bibliotecas, Anales de Investigacion",18,1,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128827059&partnerID=40&md5=c822adf703da60f0f201729e39099a5a,"Universidade Estadual de Londrina (UEL), Brazil","de Souza Fonseca, D.L., Universidade Estadual de Londrina (UEL), Brazil; Paletta, F.C., Universidade Estadual de Londrina (UEL), Brazil","Objective. To analyze some innovation initiatives from the implementation of the information service ""libraries of things"" in Brazilian university libraries, based on the perspectives of collaborative consumption, shared economy and organizational sustainability. Design/Methodology/Approach. This is a descriptive and exploratory research based on a qualitative approach, whose research path was divided into two stages: survey of scientific literature from the bibliographic research and information gathering through the Google Trends tool to retrieve information about university libraries that develop the ""library of things"" as an information service in Brazil. Results/Discusion. Four university libraries that develop the ""library of things"" as an information service in their planning activities were identified: University Library of the Federal University of Santa Catarina, University Library of the Santa Catarina State University, University Library of Feevale and the University Library of Unochapecó. The research discussed the innovation in information services from the adoption of the ""library of things"" as a practice to promote collaborative consumption, the shared economy and organizational sustainability in the context of activity planning of the Brazilian university libraries analyzed. Conclusions. It was possible to conclude that these initiatives are considered innovations in information services, whose innovative proposals are aligned with the principles of shared economy, collaborative consumption and organizational sustainability. Originality/Value. Contribute to discuss and debate about innovation trends in library information services in the social context. © 2022 by the authors.",Collaborative consumption; Innovation in information services; Library of things; Sharing economy; University libraries,,,,,,,,,,,,,,,Biblioteca Nacional de Cuba Jose Marti,0006176X,,,,Portuguese,"Bibl, An. Investig.",Article,Final,,Scopus,2-s2.0-85128827059,,,,,,,,,
"Torres I.C., José Sitak R.B.",57638549600;57641084400;,STRATEGIC DIRECTIONS ABOUT THE COOPERATION PROCESS FROM THE LIBRARIES OF THE AGOSTINHO NETO UNIVERSITY [DIRECCIONES ESTRATÉGICAS EN TORNO AL PROCESO DE COOPERACIÓN DESDE LAS BIBLIOTECAS DE LA UNIVERSIDAD AGOSTINHO NETO],2022,"Bibliotecas, Anales de Investigacion",18,1,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128806695&partnerID=40&md5=f0cdebe2775e2864d07a24b6cbe408dd,"Universidad de Camagüey “Ignacio Agramonte Loynaz, Cuba; Universidad Agostinho Neto, Luanda, Angola","Torres, I.C., Universidad de Camagüey “Ignacio Agramonte Loynaz, Cuba; José Sitak, R.B., Universidad Agostinho Neto, Luanda, Angola","Objective. The article refer a series of strategic orientation lines are identified for cooperation between university libraries, emphasizing the benefits of this practice in Higher Education institutions. Design/Methodology/Approach. It is considered a mixed type of research with a qualitative and quantitative approach. The use of theoretical and empirical methods makes it possible to deepen the subject matter investigated. The statistical method facilitates the process of tabulation, graphing and data presentation. Interview and survey are also used as research techniques to analyze the behavior of the library cooperation process within the university context. Results/Discussion. The research, carried out at the Agostinho Neto University (ANU), Luanda-Angola, allowed the detection of limitations that hindered library cooperation; corroborated the importance of this practice in this institution and the professional requirements to participate in the cooperation were determined. In connection with the above, several Strategic Guidelines were established for the revitalization of library cooperation activities among all the information units of the ANU. Conclusions. Library cooperation is an alternative for the diversity of information services and products in university institutions. The creation and implementation of strategic lines in collaborative practice allows the promotion and consolidation of activities among libraries. Originality/Value. It is distinguished by the approach of the Strategic Orientation Lines as essential for library cooperation practices that stimulate solidarity relationships between members and associates of different institutions. © 2022 by the authors.",library cooperation; strategic lines; University libraries,,,,,,,,,,,,,"Torres, I.C.; Universidad de Camagüey “Ignacio Agramonte LoynazCuba; email: irimacampillotorres@gmail.com",,Biblioteca Nacional de Cuba Jose Marti,0006176X,,,,Spanish,"Bibl, An. Investig.",Article,Final,,Scopus,2-s2.0-85128806695,,,,,,,,,
"Magallón-Rosa R., Molina-Cañabate J.P., Sánchez-Duarte J.M.",55578191300;55906009700;57063561200;,Public and private measures to combat disinformation. A comparative analysis [Medidas públicas y privadas para combatir la desinformación. Un análisis comparativo],2022,Boletim do Arquivo da Universidade de Coimbra,,Extra 1,,105,129,,,10.14195/2182-7974_extra2022_1_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127153731&doi=10.14195%2f2182-7974_extra2022_1_5&partnerID=40&md5=887d617a0f0c354ff56b0250103d3a4d,"Universidad Carlos III de Madrid, Spain; Universidad Rey Juan Carlos, Spain","Magallón-Rosa, R., Universidad Carlos III de Madrid, Spain; Molina-Cañabate, J.P., Universidad Carlos III de Madrid, Spain; Sánchez-Duarte, J.M., Universidad Rey Juan Carlos, Spain","The aim of this research is to carry out an analysis and description of the main public and private measures taken by the different actors involved in the fight against disinformation at a global level. From this point of view, five factors that have determined the responses of the states to this new scenario of dysfunctional digital democracy are proposed: the competence distribution and the geographical dimension; the distinction between strategies, measures and objectives; the definition of the actors involved and their functions in the responses taken; the temporary distinction of the actions and objectives and the coordination and follow-up guidelines of the policies aimed to tackle disinformation and limiting information disorders. The new context presents conceptual challenges that will have legal consequences and that begin with the legislative definition of disinformation but that affect the notion of digital newspaper or the definition of censorship in times of overinformation. © 2022 Imprensa da Universidade de Coimbra. All rights reserved.",disinformation; foreign interference; legislation; public measures; States,,,,,,,,,,,,,,,Imprensa da Universidade de Coimbra,8725632,,,,Spanish,Bol. Arq. Univ. Coimbra,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85127153731,,,,,,,,,
López-Borrull A.,52563880600;,COVID-19: 8 lessons from the First Global Infodemic that should be an opportunity for libraries [COVID-19: 8 lecciones de la primera infodemia global que deberían ser una oportunidad para las bibliotecas],2022,Boletim do Arquivo da Universidade de Coimbra,,Extra 1,,83,103,,,10.14195/2182-7974_extra2022_1_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127097073&doi=10.14195%2f2182-7974_extra2022_1_4&partnerID=40&md5=338c486f0f30e0d53066861438cf61fc,"Estudis Ciències de la Informació i la Comunicació, la Universitat Oberta de Catalunya, Catalunya, Spain","López-Borrull, A., Estudis Ciències de la Informació i la Comunicació, la Universitat Oberta de Catalunya, Catalunya, Spain","The health crisis caused by COVID-19 brought with it the first global infodemic, in which hoaxes and denial theories roamed and roamed freely through the digital space and social networks. With the perspective of two years of pandemic, some lessons are offered that in the author's opinion should be opportunities for libraries when dealing with the phenomenon of disinformation, which although it is not new, in the case of the infodemic it has had a global type scale. Aspects such as the consumption of information via social networks, the different types of denialism and the necessary literacies in which the library community could contribute all its experience are analyzed. Finally, a series of recommendations are made for actions that libraries and the library community, collectively but also individually, could carry out in collaboration with other actors for the efficient fight against disinformation. © 2022 Imprensa da Universidade de Coimbra. All rights reserved.",COVID-19; disinformation; Fake news; infodemia; libraries,,,,,,,,,,,,,"López-Borrull, A.; Estudis Ciències de la Informació i la Comunicació, Spain; email: alopezbo@uoc.edu",,Imprensa da Universidade de Coimbra,8725632,,,,Spanish,Bol. Arq. Univ. Coimbra,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85127097073,,,,,,,,,
"Gonzales A., Colmenero-Ruiz M.-J., Pinto A.-L.",57210997689;56350019700;36470775500;,A cartography of the Profesional de la información journal: a visual map of 30 years of history [Cartografía de la revista Profesional de la información: mapa visual de 30 años de historia],2021,Profesional de la Informacion,30,6,e300605,,,,,10.3145/epi.2021.nov.05,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124896063&doi=10.3145%2fepi.2021.nov.05&partnerID=40&md5=cc04758bc31ee55fb78b59c3bc96f2c8,"Université Montpellier, 3 Route de Mende, Montpellier, 34090, France; Universidade Federal de Santa Catarina, Campus Universitário-Trindade, Santa Catarina, Florianópolis, 88040-900, Brazil; Universidad Complutense de Madrid Facultad de Ciencias de la Documentación, Santísima Trinidad, 37, Madrid, 28010, Spain","Gonzales, A., Université Montpellier, 3 Route de Mende, Montpellier, 34090, France; Colmenero-Ruiz, M.-J., Universidad Complutense de Madrid Facultad de Ciencias de la Documentación, Santísima Trinidad, 37, Madrid, 28010, Spain; Pinto, A.-L., Universidade Federal de Santa Catarina, Campus Universitário-Trindade, Santa Catarina, Florianópolis, 88040-900, Brazil","The process of creating a cartography, an interactive visualization, from the bibliographic data of the contents of the scientific journal Profesional de la información during its almost 30 years of life is presented. The cartography is available on the EPI journal website: https://profesionaldelainformacion.com/cartografia/EPI_GLOBAL/index.html. Its objective is to serve as a navigable index for the quick localization of information of interest to readers as well as a visual map that highlights the characteristics of the knowledge network that these data form through the interconnection of relationships between its nodes. This device has been created by extracting data from the journal’s website using web scraping tools and the free software Gephi for network visualization. A graph viewer allows access and manipulation through the web. Navigation through the bibliographic data network is facilitated by different strategies: (1) the use of different colors for each category of node (author, keyword, number, and article); (2) the viewer’s search tools, including a node label finder, a zoom bar, a magnifying glass, and a button to hide the network of relationships; and (3) the possibility of displaying different linked graphs. Selecting a node opens a side-space where all the attributes providing information about that node are displayed and that enables a new window to be opened, displaying all the information linked to an external page. The information on the authors is obtained from the Directory of Experts in the Management of Information (EXIT). This tool thus undeniable provides a useful source of secondary information on the journal, as were printed indexes in their day, with the advantage that it can be updated almost simultaneously with the publication of new issues. The data obtained will be used to carry out other analyses of the evolution of the journal, the topics of interest to the profession, and its stakeholders. © 2021, El Profesional de la Informacion. All rights reserved.",Bibliographic search; Cartography; Directorio EXIT; EPI; Gephi; Indexes; Information retrieval; Information visualization; Interactive visualizations; Network analysis; Open source; Profesional de la información; Scholarly communication; Scientific journals; Visual maps,,,,,,,,,,,,,,,El Profesional de la Informacion,13866710,,,,Spanish,Prof. Inf.,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85124896063,,,,,,,,,
"Pajeú H.M., de Almeida A.H.F.",57214174041;57221648662;,Cultural mediation in the school library and the librarian infoeducator [A mediação cultural na biblioteca escolar e o bibliotecário infoeducador],2021,Revista Digital de Biblioteconomia e Ciencia da Informacao,18,,e020025,,,,1,10.20396/RDBCI.V18I0.8660541,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099702752&doi=10.20396%2fRDBCI.V18I0.8660541&partnerID=40&md5=487ee4141fb012cd4fd8e89963bd9f5b,"Federal University of Pernambuco, Recife, Pernambuco, Brazil","Pajeú, H.M., Federal University of Pernambuco, Recife, Pernambuco, Brazil; de Almeida, A.H.F., Federal University of Pernambuco, Recife, Pernambuco, Brazil","Over time, the school library has changed its profile, opening the door to cultural mediation by trying to leave behind the stigma of a quiet place, and demanding a new performance from the school librarian. This article aims to analyze the path taken by the school library in Brazil in order to reflect on its current configuration as a space for cultural mediation and the role of the librarian-info-educator in the current context of these spaces, through exploratory bibliographical and documentary research, and a review of the school library concept. As a result, we can affirm the fundamental role of the school library in training its users through a practice that goes beyond supporting the classroom and encouraging reading, as well as the need for trained professionals to do so. © 2020 Universidade Estadual de Campinas. All rights reserved.",Access to the library; Actions; Information policies; Librarians; School libraries,,,,,,,,,,,,,,,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85099702752,,,,,,,,,
"Alvarez E.B., Vidotti S.A.B.G., Sánchez J.A.P.",57113051700;55382353300;35559423200;,Pervasive information architecture: A model for university libraries [Arquitetura da informação pervasiva: Um modelo para bibliotecas universitárias] [Arquitectura de información generalizada: Un modelo para bibliotecas universitarias],2021,Revista Interamericana de Bibliotecologia,44,2,e345193,,,,,10.17533/UDEA.RIB.V44N2EIN3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106644933&doi=10.17533%2fUDEA.RIB.V44N2EIN3&partnerID=40&md5=1e9673e025d029aef601f27c9851fd28,"Universidade Estadual Paulista “Júlio de Mesquita Filho”, Brazil; Universidad de La Habana, Cuba; Universidade Federal de Santa Catarina, Florianópolis, Brazil; Faculdade de Filosofia e Ciências, UNESP, Brazil; Instituto de Ciências Matemáticas de São Carlos da USP, Brazil; Instituto de Biociências, Letras e Ciências Exatas da UNESP, Brazil; Universidade Estadual Paulista Júlio de Mesquita Filho, Faculdade de Filosofia e Ciências - FFC, Campus de Marília, São Paulo, Brazil; Universidad Carlos III de Madrid, Spain; Universidad de Granada, Spain; Universidad de Murcia, Spain","Alvarez, E.B., Universidade Estadual Paulista “Júlio de Mesquita Filho”, Brazil, Universidad de La Habana, Cuba, Universidade Federal de Santa Catarina, Florianópolis, Brazil; Vidotti, S.A.B.G., Faculdade de Filosofia e Ciências, UNESP, Brazil, Instituto de Ciências Matemáticas de São Carlos da USP, Brazil, Instituto de Biociências, Letras e Ciências Exatas da UNESP, Brazil, Universidade Estadual Paulista Júlio de Mesquita Filho, Faculdade de Filosofia e Ciências - FFC, Campus de Marília, São Paulo, Brazil; Sánchez, J.A.P., Universidad Carlos III de Madrid, Spain, Universidad de Granada, Spain, Universidad de Murcia, Spain","The objective of this work was to propose a theoretical model of pervasive information architecture, focused on the use of recommendation systems to increase the findability of information in university libraries. This research was developed from a multidisciplinary perspective and it is defined as exploratory research since a bibliographic review is carried out. This review allows obtaining information on the theoretical elements necessary to establish the central base of the research. It is also descriptive, as it seeks to bring solutions to issues that arise in the daily life of university libraries. As a result, a model of pervasive information architecture for university libraries is presented with a focus on improving information findability from the inclusion of recommendation systems. It can be concluded that, due to the wide advance in the development of applications and tools for use in libraries, a notable increase in the level of complexity of the information environments of these institutions is perceived, which from the perspective of information architecture creates the need for more refined research projects, whose aim is to improve the information environments of university libraries, always with the main objective of favoring the experiences of users, and helping them in the processes of finding relevant information, at the precise time and with the highest possible quality. © 2021 Escuela Interamericana de Bibliotecologia. All rights reserved.",Findability; Information architecture; Pervasive information architecture; Recommender system; University library,,,,,,,,,,,,,,,Escuela Interamericana de Bibliotecologia,1200976,,,,Portuguese,Rev. Interam. Bibl.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85106644933,,,,,,,,,
"Barreto I.B., Rodríguez H.P.E., Chávez W.O.",57221461723;57224895499;57223936882;,Context of scientific publications in regionally indexed journals versus global publications [Contexto das publicações científicas em periódicos indexados regionais versus publicações globais],2021,Revista Digital de Biblioteconomia e Ciencia da Informacao,19,,e021009,,,,1,10.20396/rdbci.v19i00.8664141,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108541152&doi=10.20396%2frdbci.v19i00.8664141&partnerID=40&md5=cfd2791cbd9b00a61680940c8e56d2f8,"Innova Scientific, Lima, Peru; Hermilio Valdizan Huanuco National University, Lima, Peru; National Intercultural University of the Amazon, Lima, Peru","Barreto, I.B., Innova Scientific, Lima, Peru; Rodríguez, H.P.E., Hermilio Valdizan Huanuco National University, Lima, Peru; Chávez, W.O., National Intercultural University of the Amazon, Lima, Peru","Introduction/Objective: The objective of this article was to deepen the results obtained in the systematic review of references, in high impact publications, placed in journals indexed in high level databases, such as: Scopus and Web of Science (WoS) compared to publications of the same. impact, but in the global context. Method, Results: The research method (descriptive-documental) was used, taking as a reference articles related to the theme. Therefore, the results showed that in Peru and Ecuador, countries that are going up in these databases, we have only 14 Peruvian journals indexed in WoS and 9 in Scopus, for Ecuador their journals indexed in WoS reach 20, while for Scopus, is reduced to just 2 magazines. Conclusion: According to these data, the measures taken by the two countries to increase their scientific proliferation and the extent to which the State contributes to this academic-professional. © 2021 Universidade Estadual de Campinas UNICAMP. All rights reserved.",Bibliometric analysis. Latin America. Perú. Scientific production. Indexed journals,,,,,,,,,,,,,,,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85108541152,,,,,,,,,
"Martins Damian I.P., da Silva R.C., dos Santos Neto J.A.",55350756400;57194647276;57195597069;,Information and reference services in hybrid libraries [Serviço de referência e informação no contexto da hibridez em bibliotecas],2021,Revista Digital de Biblioteconomia e Ciencia da Informacao,19,,e021007,,,,1,10.20396/rdbci.v19i00.8664478,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107305414&doi=10.20396%2frdbci.v19i00.8664478&partnerID=40&md5=031fb253bcc44ff4bca2d25e12d7ea11,"University of São Paulo, Ribeirão Preto, SP, Brazil; Paulista State University, Marília, SP, Brazil","Martins Damian, I.P., University of São Paulo, Ribeirão Preto, SP, Brazil; da Silva, R.C., Paulista State University, Marília, SP, Brazil; dos Santos Neto, J.A., Paulista State University, Marília, SP, Brazil","Introduction: To make relevant information available to its users, the library provides reference and information service, which helps, in a personalized way, users satisfy their information needs. To achieve their purposes, the library and the reference and information service need to keep up with the changes presented by the environment where they operate, which has led to the emergence, among other things, of hybrid libraries. Method: In order to verify the needs of reference and information services to be offered in hybrid libraries, a qualitative and exploratory study was carried out. A literature review was developed in specific theoretical references of both themes - reference and information service and hybrid libraries - in the scope of Information Science. Results: As results, it is pointed out that there is a need for adjustments in the reference and information service for libraries to be configured as hybrids. Conclusion: It is stated that the reference and information service is directly affected by the concept of hybrid library, which brings the need to rethink its scope and vision. © 2021 Universidade Estadual de Campinas. All rights reserved.",Hybrid library; Hybridity; Libraries; Reference and information service,,,,,,,,,,,,,,,Universidade Estadual de Campinas UNICAMP,1678765X,,,,English,Rev. Digit. Bibliotecon. Cienc. Inf.,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85107305414,,,,,,,,,
